,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
1,-7.431599140167236,-12.513328552246094,-11.99565887451172,-11.458443641662598,-11.949614524841309,-12.335326194763184
3,-8.140806198120117,-11.978281021118164,-11.802675247192385,-11.013795852661133,-10.348898887634276,-10.554120063781738
8,-6.107211112976074,-10.193161964416504,-13.279353141784668,-13.620195388793944,-12.728044509887695,-13.829090118408203
2,-6.278465270996094,-11.82485008239746,-10.937724113464355,-10.608842849731444,-10.966038703918455,-12.152119636535645
14,-8.088356971740723,-9.446168899536133,-10.12510871887207,-12.329357147216797,-10.927698135375977,-11.566109657287598
12,-6.542881965637207,-12.468557357788086,-11.403202056884766,-11.872236251831056,-12.038873672485352,-11.519393920898438
21,-8.130574226379395,-9.932995796203612,-10.367831230163574,-7.51118803024292,-6.687664985656738,-13.124397277832031
23,-7.534422874450684,-8.377037048339844,-13.441402435302734,-12.183393478393556,-11.345130920410156,-11.608901977539062
9,-7.006652355194092,-9.692123413085938,-12.863263130187988,-11.982915878295898,-10.979811668395996,-11.719897270202637
11,-6.3335394859313965,-11.622435569763184,-11.59359359741211,-11.937166213989258,-12.102133750915527,-12.439607620239258
10,-6.269146919250488,-6.478748321533203,-7.760196208953857,-10.963109016418455,-10.507216453552246,-11.141401290893556
0,-7.298454284667969,-12.897579193115234,-11.6578950881958,-14.186651229858398,-12.338377952575684,-10.275959014892578
17,-6.816983699798584,-10.559475898742676,-10.880504608154297,-11.910983085632324,-9.27563762664795,-8.829500198364258
18,-7.816761016845703,-12.91864776611328,-12.288312911987305,-11.70776653289795,-10.546411514282228,-10.765347480773926
19,-6.450337886810303,-9.301590919494627,-6.0022382736206055,-9.889307975769045,-11.058219909667969,-9.291993141174316
16,-7.299184322357178,-13.15218448638916,-12.342604637145996,-11.229684829711914,-11.167237281799316,-12.317946434020996
4,-6.492828845977783,-13.390135765075684,-12.68287754058838,-12.453584671020508,-11.152352333068848,-12.241361618041992
20,-6.858896732330322,-11.008237838745115,-10.028429985046388,-10.872267723083496,-8.649486541748047,-9.836384773254396
5,-6.584059715270996,-8.924099922180176,-10.146368026733398,-12.33115005493164,-12.411636352539062,-14.105653762817385
13,-7.074676036834717,-10.942293167114258,-10.364202499389648,-9.209895133972168,-9.93160629272461,-10.562992095947266
6,-9.451366424560549,-8.705587387084961,-7.468234062194824,-9.775842666625977,-11.270113945007324,-11.239999771118164
