,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-7.412472724914551,-12.72227668762207,-13.599130630493164,-13.08447265625,-11.714844703674316,-11.931344032287598
1,-6.398212909698486,-11.353059768676758,-9.834155082702637,-11.082982063293455,-10.651269912719728,-11.00776195526123
2,-6.520481586456299,-7.284191608428955,-7.118110656738281,-6.841543197631836,-10.458732604980469,-11.38242530822754
4,-6.591765880584717,-7.897460460662842,-5.981672763824463,-10.171513557434082,-9.668401718139648,-7.78912878036499
3,-5.806474208831787,-9.763339042663574,-12.02801513671875,-12.618919372558594,-11.961002349853516,-10.799774169921877
5,-7.963588237762451,-9.88133144378662,-10.521478652954102,-9.706857681274414,-10.495113372802734,-12.414766311645508
7,-6.908233642578125,-7.260152339935303,-13.468133926391602,-11.920003890991213,-11.835655212402344,-12.847936630249023
6,-7.1228742599487305,-8.047050476074219,-8.287145614624023,-8.360690116882324,-8.236394882202148,-9.45810604095459
8,-7.425457000732422,-12.128585815429688,-10.649889945983888,-11.260807991027832,-9.551982879638672,-10.874058723449709
15,-7.390185832977295,-11.421183586120604,-11.74545669555664,-11.925724029541016,-9.930938720703123,-11.534836769104004
9,-6.359533309936523,-12.678675651550291,-12.466853141784668,-12.716794967651367,-11.461322784423828,-12.28883457183838
14,-5.876775741577148,-6.533094882965088,-13.629551887512209,-11.299545288085938,-10.541945457458496,-12.055008888244627
10,-6.07366943359375,-7.442693710327148,-9.801733016967772,-9.501803398132324,-10.191265106201172,-10.51430892944336
12,-6.588448524475098,-11.342536926269531,-11.93579387664795,-10.554235458374023,-10.58850383758545,-12.764174461364746
11,-5.870162963867188,-6.357934951782227,-11.58314037322998,-11.682966232299805,-11.682966232299805,-13.180907249450684
13,-7.641886234283447,-9.946447372436523,-13.307635307312012,-11.431079864501951,-11.09650707244873,-11.334930419921877
16,-7.242753982543945,-13.464349746704102,-11.081280708312988,-11.283279418945312,-11.659329414367676,-11.90505027770996
17,-6.633026123046875,-12.45644760131836,-12.404512405395508,-11.196166038513184,-10.583213806152344,-12.557973861694336
18,-8.109034538269043,-11.053032875061035,-12.306379318237305,-10.848276138305664,-10.00888729095459,-10.554978370666504
19,-8.023902893066406,-12.431915283203123,-8.826041221618652,-9.771306991577148,-12.563613891601562,-12.227520942687988
