,agent0_panda,agent0_sea turtle,agent0_koala,agent0_peacock,agent0_lion,agent0_dolphin,agent0_octopus,agent0_snow leopard,agent0_quokka,agent0_sea otter,agent0_honeybee,agent0_elephant,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_orangutan,agent0_chimpanzee,agent1_panda,agent1_sea turtle,agent1_koala,agent1_peacock,agent1_lion,agent1_dolphin,agent1_octopus,agent1_snow leopard,agent1_quokka,agent1_sea otter,agent1_honeybee,agent1_elephant,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_orangutan,agent1_chimpanzee,agent2_panda,agent2_sea turtle,agent2_koala,agent2_peacock,agent2_lion,agent2_dolphin,agent2_octopus,agent2_snow leopard,agent2_quokka,agent2_sea otter,agent2_honeybee,agent2_elephant,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_orangutan,agent2_chimpanzee,agent3_panda,agent3_sea turtle,agent3_koala,agent3_peacock,agent3_lion,agent3_dolphin,agent3_octopus,agent3_snow leopard,agent3_quokka,agent3_sea otter,agent3_honeybee,agent3_elephant,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_orangutan,agent3_chimpanzee,agent4_panda,agent4_sea turtle,agent4_koala,agent4_peacock,agent4_lion,agent4_octopus,agent4_snow leopard,agent4_quokka,agent4_sea otter,agent4_honeybee,agent4_elephant,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_orangutan,agent4_chimpanzee,agent5_panda,agent5_sea turtle,agent5_koala,agent5_peacock,agent5_lion,agent5_dolphin,agent5_octopus,agent5_snow leopard,agent5_quokka,agent5_sea otter,agent5_honeybee,agent5_elephant,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_orangutan,agent5_chimpanzee,agent4_dolphin
1.0,-8.59633731842041,-8.322940826416016,-8.592318534851074,-5.964745044708252,-5.030401229858398,-5.656354904174805,-5.200430870056152,-7.961985111236572,-7.641965389251709,-7.810697078704834,-6.83442497253418,-5.349414825439453,-7.422323703765869,-8.495920181274414,-5.179088592529297,-8.7122220993042,-6.855380058288574,-10.8726167678833,-13.364195823669434,-10.842169761657717,-11.80209255218506,-12.430051803588867,-4.9872727394104,-0.3343834578990936,-10.874115943908691,-5.868706226348877,-7.3172783851623535,-8.108195304870605,-8.660411834716797,-12.875022888183594,-13.273079872131348,-10.92694854736328,-9.122089385986328,-8.471318244934082,-10.999683380126951,-12.61103057861328,-11.210015296936035,-12.486601829528809,-12.137727737426758,-4.369624137878418,-0.2148908674716949,-11.58714199066162,-7.537654399871826,-6.805325031280518,-7.358145713806152,-7.486730575561523,-13.233073234558104,-12.689766883850098,-10.5625581741333,-8.992021560668945,-7.481590747833252,-10.65749740600586,-12.311824798583984,-11.16346836090088,-12.219700813293455,-11.847034454345703,-4.282511234283447,-0.1916343122720718,-11.115718841552734,-7.127305507659912,-6.554957389831543,-7.164298534393311,-7.253763675689697,-12.931342124938965,-12.530598640441896,-10.272369384765623,-8.753121376037598,-7.292852878570557,-10.421411514282228,-10.976749420166016,-10.678239822387695,-12.166956901550291,-11.3026704788208,-0.2503921389579773,-10.842033386230469,-7.267286777496338,-6.183166980743408,-6.630886077880859,-6.94937801361084,-12.263781547546388,-11.927974700927734,-9.695204734802246,-8.765481948852539,-6.938162326812744,-10.138628005981444,-11.592844009399414,-11.473454475402832,-12.61237335205078,-11.502799034118652,-3.841251134872437,-0.1986167877912521,-10.973021507263184,-7.141078948974609,-6.551292419433594,-7.286567211151123,-6.723137855529785,-12.562704086303713,-12.19683837890625,-9.738807678222656,-8.68431282043457,-6.903631210327148,-4.613041877746582
2.0,-9.745223999023438,-7.574795722961426,-7.597597122192383,-6.755727291107178,-6.089495658874512,-6.240248680114746,-5.481484889984131,-7.822612762451172,-7.699658870697021,-7.8720502853393555,-6.842075347900391,-5.968733787536621,-7.5999579429626465,-8.769414901733398,-5.272053241729736,-9.517215728759766,-7.553865909576416,-9.641375541687012,-11.378253936767578,-9.890403747558594,-10.787538528442385,-12.5448579788208,-4.460960865020752,-0.3435336947441101,-9.611741065979004,-5.756296157836914,-7.079970836639404,-7.296488285064697,-7.786426067352295,-12.452590942382812,-11.972694396972656,-10.329896926879885,-8.632833480834961,-8.956456184387207,-10.216418266296388,-11.007575988769531,-10.892210006713867,-11.567034721374512,-12.456128120422363,-4.474130153656006,-0.1928068697452545,-9.950051307678224,-6.733256816864014,-6.896528244018555,-7.332334518432617,-7.356378078460693,-13.224112510681152,-12.88589096069336,-10.54637050628662,-8.520125389099121,-8.484942436218262,-9.709872245788574,-11.009024620056152,-10.13876724243164,-11.400733947753906,-12.020082473754885,-4.366100311279297,-0.2242043018341064,-9.526227951049805,-7.079650402069092,-7.470358848571777,-7.6909990310668945,-7.394652366638184,-12.5952787399292,-12.540924072265623,-10.557092666625977,-8.52241325378418,-8.279233932495117,-9.521982192993164,-10.957021713256836,-10.572006225585938,-12.04518699645996,-12.10476779937744,-0.160671517252922,-9.806418418884276,-7.324528694152832,-7.137970924377441,-7.792210102081299,-6.851604461669922,-13.189289093017578,-12.19063949584961,-10.697168350219728,-8.338970184326172,-8.353962898254395,-10.028993606567385,-11.726569175720217,-11.748320579528809,-13.14162826538086,-12.05679702758789,-3.710850238800049,-0.1439533084630966,-11.03890895843506,-8.023702621459961,-7.188292026519775,-8.000415802001953,-6.423306941986084,-13.200136184692385,-12.061036109924316,-10.714804649353027,-8.36075496673584,-8.021489143371582,-4.069698333740234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,-8.403648376464844,-7.585930824279785,-7.351258754730225,-6.620047569274902,-4.606579780578613,-4.719050407409668,-5.412344932556152,-8.102879524230957,-8.53180980682373,-7.146518230438232,-9.171931266784668,-4.962554931640625,-6.343377590179443,-8.374009132385254,-4.578658580780029,-8.226022720336914,-6.999230861663818,-9.904792785644531,-11.50257682800293,-9.91090965270996,-10.982412338256836,-11.62372589111328,-4.44251823425293,-0.3299487829208374,-9.62583065032959,-5.771897315979004,-6.410597801208496,-7.584447383880615,-7.424880981445312,-11.58310317993164,-11.568062782287598,-9.692914009094238,-8.408493041992188,-7.838979244232178,-9.8934326171875,-11.283641815185549,-10.711088180541992,-11.857115745544434,-11.670321464538574,-3.631527185440064,-0.2824893295764923,-10.480034828186035,-7.387136936187744,-6.757547855377197,-7.835524559020996,-7.041946887969971,-12.688756942749023,-12.07288932800293,-10.190735816955566,-8.655413627624512,-7.620488166809082,-10.184115409851074,-11.354938507080078,-10.922085762023926,-12.027627944946287,-11.650850296020508,-3.822340965270996,-0.2486007362604141,-10.731324195861816,-7.083127498626709,-6.456058025360107,-7.826291084289551,-7.078950881958008,-12.67355728149414,-12.154500961303713,-10.041358947753906,-8.931360244750977,-7.60005521774292,-11.076411247253418,-10.618023872375488,-10.511425018310549,-10.634580612182615,-11.264872550964355,-0.2238059937953949,-10.70210075378418,-6.819245338439941,-6.636099815368652,-6.389251708984375,-7.24930477142334,-11.923211097717283,-13.8331937789917,-9.591973304748535,-9.46097183227539,-7.534590244293213,-10.639896392822266,-10.99722671508789,-10.202861785888672,-11.085115432739258,-11.015508651733398,-3.9230024814605713,-0.1557740867137909,-10.8152494430542,-7.908109188079834,-6.75633716583252,-5.624663352966309,-6.349060535430908,-11.869891166687012,-13.855379104614258,-9.301340103149414,-9.306900024414062,-7.305986881256103,-4.805581092834473
22.0,-9.016979217529297,-8.754097938537598,-8.999687194824219,-7.441466331481934,-5.4768385887146,-5.526947498321533,-5.227231502532959,-8.01356029510498,-8.664246559143066,-8.22958755493164,-8.721284866333008,-5.643979549407959,-7.651783466339111,-8.805365562438965,-5.944102764129639,-9.21757698059082,-7.540682792663574,-7.43635082244873,-8.194202423095703,-7.359047889709473,-7.440945625305176,-5.5977277755737305,-3.611837387084961,-2.56632399559021,-7.518990039825439,-4.960511207580566,-6.412290573120117,-7.006324291229248,-4.606741905212402,-6.649888515472412,-6.611249923706055,-5.496320724487305,-7.802605152130127,-6.51884651184082,-9.031652450561523,-10.52529525756836,-9.441585540771484,-11.449785232543944,-10.715983390808104,-3.982058763504028,-0.4522792994976043,-9.322039604187012,-6.600274562835693,-6.279431343078613,-7.05441951751709,-6.540721893310547,-11.306824684143066,-10.810674667358398,-9.073305130004885,-7.820128440856934,-6.751577377319336,-9.044206619262695,-10.674250602722168,-9.437304496765137,-11.58623218536377,-10.136807441711426,-3.8235409259796143,-0.5157971978187561,-9.53427505493164,-7.187036991119385,-6.407804489135742,-7.413718223571777,-6.6003098487854,-11.385571479797363,-10.279755592346191,-9.23941135406494,-7.750968933105469,-6.709668159484863,-10.089262008666992,-10.719377517700195,-10.403865814208984,-12.27691650390625,-10.740900993347168,-0.3105790615081787,-10.355746269226074,-7.375655174255371,-6.448142051696777,-7.483275890350342,-6.939717769622803,-11.9569673538208,-10.94989013671875,-9.556902885437012,-8.263444900512695,-7.033138275146484,-9.90025234222412,-10.231558799743652,-10.210243225097656,-10.834423065185549,-9.749320030212402,-3.6171932220458975,-0.5591498613357544,-9.645234107971191,-6.038443565368652,-5.847413539886475,-6.595703125,-6.824184417724609,-9.96074676513672,-9.108787536621094,-8.341437339782715,-8.403748512268066,-6.526838302612305,-3.5282979011535645
0.0,-9.283093452453612,-8.088497161865234,-8.350725173950195,-6.255629539489746,-4.8133864402771,-5.424986362457275,-5.160083293914795,-8.051021575927734,-8.574943542480469,-8.00932502746582,-8.510913848876953,-5.409768581390381,-7.527546405792236,-8.698264122009277,-5.462949752807617,-8.675332069396973,-7.190378665924072,-10.811641693115234,-12.25302028656006,-10.529219627380373,-9.883978843688965,-12.021720886230469,-4.7741875648498535,-0.4455643594264984,-9.677397727966309,-4.886910915374756,-7.317312717437744,-8.639592170715332,-8.95681381225586,-12.23416233062744,-13.456901550292969,-10.521371841430664,-9.197872161865234,-9.75324821472168,-10.292338371276855,-11.307769775390623,-10.999529838562012,-12.023035049438477,-12.112606048583984,-3.753508090972901,-0.2054565250873565,-10.396206855773926,-6.944634437561035,-6.722676753997803,-7.9038405418396,-7.29941987991333,-13.139640808105469,-12.501102447509766,-10.539660453796388,-8.703186988830566,-8.031830787658691,-10.075088500976562,-10.958288192749023,-10.737752914428713,-11.798834800720217,-11.711014747619627,-3.6880271434783936,-0.2653321325778961,-10.141064643859863,-6.778102874755859,-6.357544422149658,-7.717017650604248,-7.066837310791016,-12.693002700805664,-12.55588150024414,-10.107133865356444,-8.41639232635498,-7.742158889770508,-10.235471725463867,-11.332828521728516,-10.65060806274414,-11.61743450164795,-11.50800609588623,-0.3183169364929199,-9.97686767578125,-6.69448184967041,-6.753684520721436,-7.23734712600708,-7.5292158126831055,-12.019994735717772,-12.436279296875,-10.217841148376465,-8.703533172607422,-7.3513503074646,-10.931591033935549,-11.712634086608888,-11.398554801940918,-12.170331001281738,-11.532362937927246,-4.118986129760742,-0.262612372636795,-11.16770839691162,-7.823211669921875,-6.637922286987305,-7.405731678009033,-6.850833892822266,-12.602614402770996,-12.565625190734863,-10.064303398132324,-8.756497383117676,-7.081223487854004,-4.129129409790039
3.0,-9.373347282409668,-7.8578596115112305,-7.72387170791626,-6.93994665145874,-5.182978630065918,-5.488199234008789,-5.408910274505615,-7.80283784866333,-8.0475435256958,-7.092527389526367,-8.973555564880371,-5.315851211547852,-6.907444953918457,-8.74799633026123,-5.617100715637207,-8.532215118408203,-6.685216426849365,-10.573651313781738,-12.963438034057615,-11.045412063598633,-10.979190826416016,-12.844186782836914,-4.4790778160095215,-0.2542896568775177,-10.05586051940918,-5.225226879119873,-6.987292766571045,-8.565877914428711,-8.404195785522461,-12.940391540527344,-13.678916931152344,-10.726187705993652,-8.787846565246582,-9.251078605651855,-10.220222473144531,-11.58029556274414,-10.839558601379396,-12.000414848327637,-12.00013542175293,-3.811913728713989,-0.1733097732067108,-10.431209564208984,-6.929831981658936,-6.803533554077148,-7.970505237579346,-7.140781402587891,-12.942306518554688,-12.591318130493164,-10.408516883850098,-8.239477157592773,-7.795408248901367,-8.834439277648926,-11.517570495605469,-9.495180130004885,-12.151476860046388,-10.670364379882812,-3.364171504974365,-0.2465603351593017,-9.681648254394531,-7.574120998382568,-6.565448760986328,-7.4366583824157715,-6.054086208343506,-11.599045753479004,-10.467283248901367,-9.444222450256348,-7.41487979888916,-7.016628742218018,-9.586260795593262,-11.727946281433104,-10.330917358398438,-12.548261642456056,-11.27708625793457,-0.1953069865703582,-10.118782043457031,-7.534700870513916,-6.77533769607544,-7.726704120635986,-6.613164901733398,-12.25908374786377,-11.51328468322754,-9.953927040100098,-7.748257637023926,-7.334596157073975,-10.082073211669922,-11.849699020385742,-11.105912208557127,-12.237232208251951,-11.381659507751465,-3.92734432220459,-0.2075323015451431,-10.564210891723633,-6.450644493103027,-6.691973686218262,-7.566433429718018,-6.979402542114258,-11.967169761657717,-11.915316581726074,-9.72312831878662,-8.466330528259277,-7.299666404724121,-3.5729787349700928
13.0,-9.815712928771973,-8.952422142028809,-8.314870834350586,-8.6022367477417,-7.067885398864746,-5.381299018859863,-5.44031286239624,-8.644705772399902,-9.699281692504885,-8.38275146484375,-9.091788291931152,-6.105212211608887,-7.831375598907471,-9.076531410217283,-7.019485950469971,-9.384222984313965,-8.109874725341797,-6.929725646972656,-7.376284122467041,-7.401894569396973,-7.052978515625,-7.042930603027344,-4.09140682220459,-2.6632795333862305,-5.814219951629639,-4.322676181793213,-4.785186290740967,-7.099265575408936,-4.576706886291504,-7.348815441131592,-6.493242263793945,-5.943469524383545,-7.620354652404785,-7.5058817863464355,-10.698981285095217,-11.86892032623291,-10.780278205871582,-11.227076530456545,-12.75635814666748,-4.497746467590332,-0.1920296996831894,-10.420467376708984,-6.208595275878906,-7.349908351898193,-8.941502571105957,-7.920070648193359,-13.064620018005373,-12.338787078857422,-11.115082740783691,-8.63735580444336,-9.574881553649902,-11.101564407348633,-12.14233112335205,-11.569517135620115,-11.608301162719728,-12.768750190734863,-4.275557994842529,-0.1902365982532501,-11.094505310058594,-7.174074649810791,-7.560133934020996,-8.920013427734375,-7.697281360626221,-13.43996238708496,-13.006081581115724,-10.999496459960938,-9.058034896850586,-8.50610065460205,-9.432788848876951,-10.996602058410645,-10.01898193359375,-10.730584144592283,-11.532479286193848,-0.3150827586650848,-10.218867301940918,-7.499521255493164,-7.017120838165283,-7.29322338104248,-6.042450904846191,-11.95046615600586,-9.96834945678711,-10.085229873657228,-9.173086166381836,-7.435787677764893,-9.93545913696289,-10.880924224853516,-10.449326515197754,-11.540090560913086,-11.658709526062012,-3.868395090103149,-0.2074020653963089,-10.45322608947754,-7.510481357574463,-6.822793006896973,-7.204580307006836,-6.417703151702881,-11.696224212646484,-11.05800437927246,-10.320601463317873,-8.921958923339844,-7.342022895812988,-3.372124433517456
8.0,-8.047998428344727,-8.320038795471191,-7.788216114044189,-5.917781352996826,-4.569799900054932,-4.873570919036865,-5.62335729598999,-8.047918319702148,-7.961123466491699,-7.46430778503418,-8.081007957458496,-4.385908603668213,-6.738171100616455,-7.864167213439941,-4.426969051361084,-8.591179847717285,-7.0693864822387695,-9.905500411987305,-13.060632705688477,-10.660806655883787,-11.660907745361328,-12.70132827758789,-3.807748079299927,-0.2136501222848892,-10.155109405517578,-6.555267333984375,-7.683821678161621,-8.709342002868652,-7.729365825653076,-13.205609321594238,-12.766300201416016,-11.070068359375,-8.21682357788086,-9.051727294921877,-10.76527500152588,-11.547856330871582,-11.40167236328125,-12.339550971984863,-12.815332412719728,-3.9769442081451416,-0.2071822434663772,-10.88713264465332,-7.628681182861328,-7.405426502227783,-8.460129737854004,-7.450575351715088,-13.916248321533203,-13.543272018432615,-11.259085655212402,-9.070393562316896,-9.186147689819336,-10.848482131958008,-11.258234977722168,-11.38872241973877,-12.188986778259276,-12.877419471740724,-4.487246513366699,-0.192468836903572,-10.629060745239258,-7.419415473937988,-7.185431957244873,-8.050901412963867,-7.482190132141113,-13.861425399780272,-13.901252746582031,-11.13870906829834,-8.970504760742188,-8.843476295471191,-10.362445831298828,-10.837274551391602,-11.107951164245604,-12.191034317016602,-12.76330280303955,-0.2024080157279968,-10.39833164215088,-7.548191070556641,-7.348913192749023,-7.70858907699585,-7.197778224945068,-13.538731575012209,-13.0714111328125,-10.974242210388184,-8.832122802734375,-8.599292755126953,-10.49122428894043,-11.557055473327637,-11.609758377075195,-12.262470245361328,-12.58870792388916,-3.763936042785645,-0.1797122508287429,-10.805557250976562,-8.11119270324707,-7.339512825012207,-8.085916519165039,-6.51531982421875,-13.448919296264648,-12.78734016418457,-10.847006797790527,-8.79321002960205,-8.421448707580566,-4.142148494720459
15.0,-8.816385269165039,-7.928478717803955,-8.270524024963379,-5.570659637451172,-5.056866645812988,-5.345571517944336,-4.864677429199219,-7.8954877853393555,-8.318400382995605,-7.932283401489258,-8.577688217163086,-5.345602035522461,-7.004218578338623,-8.264212608337402,-5.005294799804688,-9.009589195251465,-6.985464096069336,-9.506001472473145,-12.263469696044922,-9.821248054504396,-10.411231994628906,-11.451743125915527,-3.623173236846924,-0.3678714632987976,-10.016024589538574,-5.549667835235596,-6.960073947906494,-7.448637008666992,-7.484825611114502,-11.448892593383787,-12.092122077941896,-9.636009216308594,-8.61059284210205,-8.042832374572754,-9.587966918945312,-11.60092544555664,-10.496021270751951,-11.647165298461914,-11.32447910308838,-3.246342182159424,-0.2488410472869873,-10.69418716430664,-7.031871795654297,-6.419582843780518,-7.20987606048584,-6.609926700592041,-12.281508445739746,-12.043968200683594,-9.878705978393556,-8.281554222106934,-7.222402572631836,-10.348146438598633,-12.173946380615234,-10.774731636047363,-11.791666030883787,-11.486441612243652,-3.862862348556519,-0.216169849038124,-10.291133880615234,-6.67641544342041,-6.875950336456299,-7.641190052032471,-7.409640312194824,-12.362833023071287,-13.330082893371582,-10.09674835205078,-8.635963439941406,-7.500093460083008,-10.831857681274414,-11.990713119506836,-10.84468936920166,-11.321393013000488,-11.362277030944824,-0.444007396697998,-9.945892333984377,-6.036240577697754,-7.085997104644775,-7.523408889770508,-8.218525886535645,-11.92886447906494,-13.6461763381958,-10.150537490844728,-9.227747917175291,-7.65475606918335,-11.214580535888672,-12.313395500183104,-11.96649932861328,-11.459120750427246,-11.59165382385254,-4.2160420417785645,-0.2492505013942718,-11.066123962402344,-6.982110023498535,-6.817116737365723,-7.922069549560547,-7.374186992645264,-12.746038436889648,-13.649827003479004,-10.143494606018066,-9.180532455444336,-7.519809246063232,-4.567275047302246
