,agent0_panda,agent0_sea turtle,agent0_koala,agent0_peacock,agent0_lion,agent0_dolphin,agent0_octopus,agent0_snow leopard,agent0_quokka,agent0_sea otter,agent0_honeybee,agent0_elephant,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_orangutan,agent0_chimpanzee,agent1_panda,agent1_sea turtle,agent1_koala,agent1_peacock,agent1_lion,agent1_dolphin,agent1_octopus,agent1_snow leopard,agent1_quokka,agent1_sea otter,agent1_honeybee,agent1_elephant,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_orangutan,agent1_chimpanzee,agent2_panda,agent2_sea turtle,agent2_koala,agent2_peacock,agent2_lion,agent2_dolphin,agent2_octopus,agent2_snow leopard,agent2_quokka,agent2_sea otter,agent2_honeybee,agent2_elephant,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_orangutan,agent2_chimpanzee,agent3_panda,agent3_sea turtle,agent3_koala,agent3_peacock,agent3_lion,agent3_dolphin,agent3_octopus,agent3_snow leopard,agent3_quokka,agent3_sea otter,agent3_honeybee,agent3_elephant,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_orangutan,agent3_chimpanzee,agent4_panda,agent4_sea turtle,agent4_peacock,agent4_lion,agent4_octopus,agent4_snow leopard,agent4_quokka,agent4_sea otter,agent4_honeybee,agent4_elephant,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_orangutan,agent4_chimpanzee,agent5_panda,agent5_sea turtle,agent5_koala,agent5_peacock,agent5_lion,agent5_dolphin,agent5_octopus,agent5_snow leopard,agent5_quokka,agent5_sea otter,agent5_honeybee,agent5_elephant,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_orangutan,agent5_chimpanzee,agent4_koala,agent4_dolphin
1.0,-8.07337760925293,-9.123929023742676,-8.742334365844727,-6.076588153839111,-3.433358192443848,-4.992681503295898,-5.367407321929932,-6.729085445404053,-6.506410121917725,-8.585592269897461,-6.32703161239624,-4.106509208679199,-7.016190052032471,-9.599729537963867,-3.679166793823242,-9.368141174316406,-6.796695232391357,-10.127779960632324,-11.678643226623535,-10.50545883178711,-11.52643585205078,-11.929909706115724,-3.888738870620728,-0.2384464144706726,-10.73049545288086,-6.610075950622559,-6.973663330078125,-7.794875144958496,-7.442927837371826,-12.61068344116211,-12.843374252319336,-10.386457443237305,-8.608789443969727,-8.002519607543945,-9.44075870513916,-10.992839813232422,-10.135296821594238,-11.93112564086914,-10.970006942749023,-3.10425329208374,-0.290132611989975,-10.351168632507324,-7.591197490692139,-6.419043064117432,-7.428205966949463,-6.485470294952393,-12.357219696044922,-11.49541187286377,-9.972962379455566,-8.059868812561035,-7.238295555114746,-10.10842514038086,-11.539913177490234,-10.69357204437256,-12.22275161743164,-11.711373329162598,-3.6277668476104736,-0.1875648349523544,-10.70161247253418,-7.629637718200684,-6.694144248962402,-7.755938529968262,-6.937427997589111,-13.072089195251465,-12.39278793334961,-10.470582962036133,-8.273490905761719,-7.622669696807861,-10.224287986755373,-11.695133209228516,-12.091617584228516,-11.15615177154541,-0.2542630434036255,-10.386788368225098,-6.712644577026367,-6.651273727416992,-7.610960960388184,-7.360252857208252,-12.35356330871582,-12.627025604248049,-9.91964626312256,-8.56137752532959,-7.378316402435303,-10.709317207336426,-12.249994277954102,-11.404072761535645,-12.31959056854248,-11.386103630065918,-3.8325953483581534,-0.2129161357879638,-11.274178504943848,-7.826479911804199,-6.621685981750488,-7.647744655609131,-6.681835651397705,-12.74643611907959,-12.651302337646484,-9.930835723876951,-8.387842178344727,-7.232378005981445,-10.751871109008787,-4.060895442962647
2.0,-8.781551361083984,-9.410554885864258,-8.90784740447998,-7.167708396911621,-4.421527862548828,-5.470392227172852,-5.693525791168213,-6.885460376739502,-6.760799884796143,-9.206645011901855,-6.752871990203857,-5.069182395935059,-7.405663013458252,-10.603858947753906,-4.763859748840332,-10.27934741973877,-6.817629814147949,-10.02077865600586,-11.063912391662598,-10.008672714233398,-11.199995040893556,-11.093378067016602,-4.189509391784668,-0.3082499802112579,-10.018784523010254,-6.530311584472656,-6.61526346206665,-7.043232440948486,-7.272407531738281,-11.770811080932615,-12.10736846923828,-9.654921531677246,-8.65971565246582,-7.130137920379639,-9.412274360656738,-11.012628555297852,-10.211711883544922,-12.209708213806152,-10.905440330505373,-3.313936710357666,-0.2931604087352752,-9.928092956542969,-7.4161696434021,-6.723580360412598,-7.393494606018066,-6.499024868011475,-11.648868560791016,-10.998644828796388,-9.877127647399902,-8.391091346740723,-7.031723499298096,-8.61272144317627,-10.862167358398438,-9.35296630859375,-12.189667701721191,-10.087569236755373,-2.5367302894592285,-0.3784060180187225,-9.916131973266602,-7.834814071655273,-6.1234941482543945,-7.448032855987549,-5.419989109039307,-11.631596565246582,-10.119255065917969,-9.302297592163086,-7.460936546325684,-6.5473222732543945,-8.537086486816406,-10.733461380004885,-12.24892234802246,-10.088872909545898,-0.379815012216568,-10.010823249816896,-8.289190292358398,-6.253989219665527,-7.662098407745361,-5.419848442077637,-11.811776161193848,-10.1025972366333,-9.560009002685549,-7.533961296081543,-6.63925838470459,-9.76846981048584,-11.995806694030762,-10.518000602722168,-12.31263256072998,-10.350015640258787,-3.1076760292053223,-0.3195987045764923,-10.897456169128418,-8.043160438537598,-6.969091892242432,-7.819960594177246,-6.332608699798584,-11.865086555480955,-11.644514083862305,-9.613057136535645,-8.337092399597168,-6.609157562255859,-9.34717845916748,-2.292569160461426
3.0,-10.14670753479004,-6.664945602416992,-11.15666961669922,-9.190232276916504,-6.237096786499023,-3.902886390686035,-5.027085304260254,-8.783507347106934,-9.141587257385254,-7.834165573120117,-9.705510139465332,-7.791267395019531,-10.527276039123535,-10.721004486083984,-8.095769882202148,-10.950916290283203,-10.130459785461426,-8.2315673828125,-8.252218246459961,-8.096498489379883,-8.262534141540527,-7.446516990661621,-5.863529205322266,-3.017841100692749,-5.711265563964844,-5.131731033325195,-5.49260950088501,-7.582608222961426,-7.146100044250488,-9.786864280700684,-10.462876319885254,-6.191398143768311,-8.082010269165039,-8.872480392456055,-6.570321083068848,-6.493882179260254,-6.730836391448975,-7.582520961761475,-6.547389030456543,-4.359515190124512,-2.620179891586304,-5.334461688995361,-4.623776435852051,-4.228828430175781,-4.649137496948242,-4.048221588134766,-7.996122360229492,-8.387690544128418,-3.657701015472412,-7.951297760009766,-6.004332542419434,-10.034008979797363,-9.62379264831543,-10.243332862854004,-11.039559364318848,-11.403907775878906,-4.313889026641846,-0.3103666007518768,-10.053720474243164,-7.444613456726074,-5.662613868713379,-5.81331205368042,-6.6358561515808105,-12.098995208740234,-11.306857109069824,-9.464981079101562,-8.352842330932617,-6.765974521636963,-9.382271766662598,-9.317255973815918,-11.581636428833008,-10.94954776763916,-0.4133965075016022,-9.66140079498291,-6.84434700012207,-6.025319576263428,-6.592167854309082,-6.903319358825684,-11.57741928100586,-10.762092590332031,-9.327484130859377,-7.982008457183838,-7.071871280670166,-10.181160926818848,-8.723697662353516,-10.591588020324709,-11.95980739593506,-11.21972942352295,-4.567984580993652,-0.3739104270935058,-10.386884689331056,-7.41735029220581,-5.49762487411499,-6.661319732666016,-6.485233306884766,-12.278453826904297,-11.180078506469728,-9.345467567443848,-8.296539306640625,-7.040678024291992,-9.39255428314209,-4.128110885620117
8.0,-8.933524131774902,-9.64179515838623,-8.284290313720703,-8.111613273620605,-4.561400890350342,-6.132080554962158,-6.285344123840332,-7.054985523223877,-6.224335193634033,-9.163018226623535,-7.836558818817139,-5.0391621589660645,-7.356743812561035,-10.364953994750977,-4.931106090545654,-10.263893127441406,-7.25879430770874,-9.544757843017578,-11.664060592651367,-10.040231704711914,-11.161104202270508,-11.861380577087402,-3.900463342666626,-0.3898582756519317,-10.260858535766602,-5.819365978240967,-6.854800224304199,-7.672221660614014,-7.551153659820557,-12.068886756896973,-12.070097923278809,-10.1859712600708,-8.422924041748047,-8.32291316986084,-9.22978973388672,-11.785341262817385,-10.3363676071167,-12.201993942260742,-11.20145034790039,-3.139549732208252,-0.2874015569686889,-10.508931159973145,-7.672743797302246,-6.711316108703613,-7.784038543701172,-6.488693714141846,-12.52920913696289,-11.305024147033691,-10.28061294555664,-8.021675109863281,-7.384160995483398,-9.302492141723633,-11.41538906097412,-10.37648868560791,-12.006388664245604,-11.024998664855955,-3.010671138763428,-0.3606331050395965,-10.736077308654783,-7.801407814025879,-6.79284143447876,-7.632214546203613,-6.306600093841553,-12.444140434265137,-10.870343208312988,-10.11024284362793,-8.248139381408691,-7.296441555023193,-7.678971290588379,-10.95786476135254,-11.83393096923828,-9.256567001342772,-0.3775290250778198,-9.060895919799805,-8.073575019836426,-6.291161060333252,-7.117999076843262,-5.017205238342285,-10.750988960266112,-8.776296615600586,-8.41299057006836,-6.959499359130859,-6.326414585113525,-7.811758995056152,-9.651445388793944,-8.860001564025879,-10.57158374786377,-8.95327377319336,-2.840097188949585,-0.6217994093894958,-8.209157943725586,-7.512266159057617,-5.956515312194824,-6.555202960968018,-5.315055847167969,-9.922060012817385,-8.857085227966309,-7.857770919799805,-7.25335693359375,-6.367246627807617,-8.596242904663086,-2.7740354537963867
15.0,-9.020533561706545,-10.050084114074709,-9.91371250152588,-7.452855587005615,-5.096835136413574,-6.379461288452148,-6.556215286254883,-7.420441627502441,-7.264304637908935,-9.530649185180664,-8.19787311553955,-5.991189002990723,-8.22788143157959,-10.873666763305664,-5.834438800811768,-11.231754302978516,-8.518113136291504,-7.858504295349121,-10.012199401855469,-8.534520149230957,-7.2328362464904785,-7.743582725524902,-4.435521125793457,-2.032012701034546,-6.130417346954346,-4.532051086425781,-7.35723066329956,-6.567587852478027,-6.890047073364258,-8.45699405670166,-10.761655807495115,-7.383794784545898,-9.50713348388672,-8.708915710449219,-9.951919555664062,-11.25311279296875,-10.921149253845217,-11.495792388916016,-12.347469329833984,-3.695922374725342,-0.2929190993309021,-10.391619682312012,-6.920160293579102,-6.919360160827637,-8.193496704101562,-7.136186122894287,-13.019927024841309,-12.328657150268556,-10.52921199798584,-8.726993560791016,-8.38424301147461,-9.408974647521973,-10.915456771850586,-10.379353523254396,-11.299849510192873,-11.916677474975586,-3.324878215789795,-0.333516001701355,-9.935003280639648,-6.769599437713623,-6.613894939422607,-7.873466491699219,-6.900339603424072,-12.645675659179688,-11.697490692138672,-10.259114265441896,-8.344914436340332,-8.158223152160645,-9.410297393798828,-10.93168830871582,-11.379056930541992,-10.682184219360352,-0.3934791088104248,-9.712445259094238,-7.038525104522705,-6.511439800262451,-6.595677852630615,-6.543255805969238,-11.38813304901123,-11.376809120178224,-9.667059898376465,-8.12794017791748,-6.8896260261535645,-9.501708984375,-11.218185424804688,-10.080232620239258,-11.667187690734863,-10.452231407165527,-3.487489461898804,-0.4501509964466095,-10.233283996582031,-7.280794143676758,-6.625829696655273,-6.859849452972412,-6.481688976287842,-11.285927772521973,-11.170724868774414,-9.634929656982422,-8.163036346435547,-6.902351379394531,-9.623143196105955,-3.3812732696533203
14.0,-8.026531219482422,-9.07715129852295,-8.640068054199219,-6.684515476226807,-4.117081642150879,-5.007499694824219,-5.183323860168457,-6.607559680938721,-5.811099529266357,-7.899033069610596,-6.531754493713379,-4.570579528808594,-7.0642499923706055,-10.189796447753906,-4.012662887573242,-9.574609756469728,-6.982932090759277,-11.255484580993652,-13.06027889251709,-11.20865535736084,-11.955368995666504,-13.170653343200684,-4.841387271881104,-0.244681030511856,-10.953001022338867,-5.732856750488281,-6.7916340827941895,-8.4739351272583,-8.77511215209961,-13.310873985290527,-13.45521354675293,-10.914252281188965,-9.210460662841797,-9.472331047058104,-10.809982299804688,-11.875179290771484,-11.347893714904783,-12.42296314239502,-11.942299842834473,-4.289037227630615,-0.2050752639770507,-11.290264129638672,-7.089478492736816,-6.789202690124512,-7.803976535797119,-7.420735836029053,-13.060956954956056,-13.338777542114258,-10.413952827453612,-8.815427780151367,-7.500350952148437,-9.72870635986328,-11.88078784942627,-10.42737102508545,-12.77319049835205,-11.067373275756836,-3.376696348190308,-0.1814183741807937,-10.81270980834961,-7.975683212280273,-6.4762396812438965,-7.708864688873291,-6.355354309082031,-12.571669578552246,-11.973172187805176,-9.96373176574707,-8.0090970993042,-7.139007568359375,-9.59094524383545,-11.593406677246094,-12.65132999420166,-10.892345428466797,-0.2158852517604828,-10.621641159057615,-8.125786781311035,-6.468464374542236,-7.506833076477051,-6.097023963928223,-12.23239803314209,-11.681791305541992,-9.711464881896973,-7.802036762237549,-6.889185905456543,-10.559359550476074,-12.627613067626951,-11.556181907653809,-12.618141174316406,-11.638148307800291,-3.94215989112854,-0.227115124464035,-11.218999862670898,-7.604495048522949,-6.616111755371094,-8.018533706665039,-6.764739036560059,-12.769932746887209,-13.129186630249023,-10.123126983642578,-8.286528587341309,-7.440728187561035,-10.126453399658203,-3.313209295272827
12.0,-9.25765609741211,-10.326122283935549,-10.143590927124023,-8.394768714904785,-5.0694990158081055,-6.419076919555664,-6.873101234436035,-7.421853542327881,-7.810023784637451,-9.8561372756958,-8.863362312316895,-5.969408988952637,-8.063796997070312,-11.650935173034668,-5.789817810058594,-11.023721694946287,-8.621540069580078,-8.788461685180664,-11.090309143066406,-9.13343334197998,-10.658629417419434,-10.975146293640137,-3.5163402557373047,-0.6491562128067017,-8.90665340423584,-5.257169723510742,-6.32462215423584,-7.144654273986816,-7.134824752807617,-10.656458854675291,-10.249141693115234,-9.017030715942385,-8.421692848205566,-8.510178565979004,-9.558073043823242,-10.951169967651367,-9.94428253173828,-11.683016777038574,-11.442137718200684,-3.501859426498413,-0.3419204354286194,-10.126566886901855,-7.331422328948975,-6.403269767761231,-7.464735984802246,-6.591864585876465,-12.11027717590332,-11.640204429626465,-9.796504974365234,-8.17440414428711,-7.618281841278076,-10.49166488647461,-12.125726699829102,-11.002358436584473,-11.551435470581056,-12.214073181152344,-4.050405502319336,-0.3885372281074524,-10.524300575256348,-6.552035331726074,-7.198092460632324,-7.857257843017578,-7.738095283508301,-12.767133712768556,-12.891148567199709,-10.3680419921875,-9.040847778320312,-8.014618873596191,-10.194893836975098,-11.84044361114502,-12.153010368347168,-11.787409782409668,-0.4711106419563293,-10.51958179473877,-7.679873943328857,-7.25666618347168,-8.150136947631836,-7.096640586853027,-12.853395462036133,-11.660240173339844,-10.33892059326172,-8.794105529785156,-7.997152805328369,-10.304051399230955,-11.748247146606444,-11.161590576171877,-11.991198539733888,-11.425569534301758,-3.6906721591949454,-0.2058809250593185,-10.560995101928713,-7.105834484100342,-6.7450056076049805,-7.66521692276001,-6.444105625152588,-12.528471946716309,-11.9507417678833,-9.58874797821045,-8.337850570678711,-7.371563911437988,-10.753479957580566,-3.333345413208008
21.0,-9.742822647094728,-10.071008682250977,-9.643136024475098,-8.974306106567383,-5.665773868560791,-6.266584873199463,-6.780227184295654,-7.895652294158935,-9.093830108642578,-10.022174835205078,-7.970142364501953,-6.031356334686279,-8.312618255615234,-11.289785385131836,-6.2567458152771,-10.682705879211426,-8.036565780639648,-7.462903022766113,-9.591744422912598,-8.818037986755371,-6.339842796325684,-5.471648216247559,-4.719409942626953,-4.23162841796875,-6.650325298309326,-5.76552152633667,-7.68848180770874,-7.078664779663086,-4.949602127075195,-7.726514339447021,-8.541657447814941,-5.244658470153809,-10.219403266906738,-8.062416076660156,-10.146039009094238,-11.64333438873291,-10.555486679077148,-11.259554862976074,-11.640876770019531,-4.315803527832031,-0.3395041227340698,-9.923972129821776,-6.443509578704834,-6.675105571746826,-7.170711517333984,-7.619694709777832,-11.89636516571045,-12.382287979125977,-9.979093551635742,-8.800180435180664,-7.377970695495605,-10.820554733276367,-11.915468215942385,-10.93030071258545,-11.91906452178955,-11.846478462219238,-4.120523452758789,-0.2490560412406921,-10.338059425354004,-7.243503570556641,-7.042243003845215,-7.678175449371338,-7.524056434631348,-12.71769905090332,-13.500022888183594,-10.182083129882812,-9.102673530578612,-7.89176082611084,-10.338226318359377,-11.214950561523438,-11.471742630004885,-11.020816802978516,-0.3636930882930755,-9.798730850219728,-7.32465124130249,-6.902976989746094,-7.241308212280273,-7.403314113616943,-11.828107833862305,-12.275182723999023,-9.725764274597168,-9.022006034851074,-7.536998271942139,-9.959554672241213,-12.095178604125977,-10.547213554382324,-12.30949592590332,-10.79508113861084,-3.485963821411133,-0.2781028151512146,-10.471720695495604,-7.701229572296143,-6.748052597045898,-7.422822952270508,-6.266613006591797,-11.945024490356444,-11.721352577209473,-9.683022499084473,-8.300004005432129,-7.120734691619873,-10.157197952270508,-4.044808864593506
23.0,-8.99135971069336,-9.695686340332031,-9.966551780700684,-7.206431865692139,-4.334069728851318,-5.912451267242432,-7.233660221099853,-7.135067462921143,-7.8813982009887695,-8.763025283813477,-8.41574478149414,-5.216196537017822,-7.763233661651611,-11.22408676147461,-4.512651920318604,-10.5575532913208,-7.949312686920166,-5.985913276672363,-9.826851844787598,-6.825866222381592,-5.90153169631958,-4.647880554199219,-3.615310907363892,-2.4119668006896973,-5.5041608810424805,-4.426406383514404,-6.375224113464356,-4.658408164978027,-3.887816667556762,-5.637270450592041,-7.12642765045166,-2.8650717735290527,-7.981600284576416,-5.25239896774292,-9.832415580749512,-11.18156623840332,-9.510769844055176,-10.012725830078123,-9.98577880859375,-4.165849208831787,-0.4851501584053039,-9.41677188873291,-6.482702255249023,-6.964120864868164,-5.312772750854492,-6.982808589935303,-10.082820892333984,-11.16581916809082,-8.47146987915039,-8.809638977050781,-6.43060827255249,-7.813100337982178,-9.751672744750977,-8.764275550842285,-12.290910720825195,-9.962431907653809,-3.07454252243042,-0.2806068956851959,-9.83962631225586,-7.91783857345581,-5.037996292114258,-5.452164649963379,-4.031689167022705,-11.127103805541992,-9.836204528808594,-8.389861106872559,-6.923448085784912,-6.10794734954834,-7.691899299621582,-9.64393138885498,-12.151963233947754,-9.921537399291992,-0.2680693864822387,-9.898442268371582,-7.914173126220703,-5.08794641494751,-5.253645420074463,-4.275726318359375,-11.032752990722656,-9.45985507965088,-8.52289867401123,-6.931821346282959,-6.179976940155029,-7.23316764831543,-8.205806732177734,-7.705757141113281,-11.571969985961914,-8.673798561096191,-3.30094051361084,-0.5951172113418579,-9.497594833374023,-7.263227462768555,-4.759532451629639,-4.00386381149292,-3.909745216369629,-9.42818546295166,-9.079540252685549,-7.129965305328369,-6.597851276397705,-5.651027202606201,-8.496546745300293,-3.0529801845550537
9.0,-8.912195205688477,-10.816579818725586,-9.666040420532228,-7.936312675476074,-5.547062873840332,-6.457217216491699,-6.403800487518311,-7.378970623016357,-7.064424514770508,-10.079026222229004,-8.865741729736328,-5.9632978439331055,-7.884491920471191,-10.13832664489746,-6.3127875328063965,-11.191551208496094,-8.347490310668945,-8.593130111694336,-10.448122024536133,-8.627533912658691,-9.412721633911133,-9.15384578704834,-3.7140963077545166,-0.8446089029312134,-7.836075782775879,-5.318142890930176,-6.557592868804932,-7.335421085357666,-6.588580131530762,-10.297773361206056,-11.047808647155762,-8.166897773742676,-8.250326156616211,-8.208066940307617,-9.780478477478027,-11.25358772277832,-10.69872760772705,-12.43549346923828,-11.56052303314209,-3.1089789867401123,-0.2556603252887726,-10.510809898376465,-7.841713428497314,-6.779470920562744,-8.063536643981934,-6.529165744781494,-12.853557586669922,-12.056047439575195,-10.46995735168457,-8.126626014709473,-7.624419689178467,-9.946742057800291,-11.497777938842772,-10.254480361938477,-12.051139831542969,-10.8983154296875,-3.5870110988616943,-0.3506363928318023,-9.862857818603516,-6.866315364837647,-7.052638053894043,-7.071352958679199,-6.940314292907715,-11.323906898498535,-11.42853546142578,-9.945624351501465,-8.732247352600098,-7.384758949279785,-8.314504623413086,-10.395017623901367,-11.694618225097656,-9.720261573791504,-0.4664613902568817,-9.67145538330078,-7.737176895141602,-5.872872352600098,-7.342952251434326,-5.100534915924072,-11.148866653442385,-9.360901832580566,-9.116894721984863,-7.414159297943115,-6.593177318572998,-9.51361083984375,-11.63996696472168,-10.605619430541992,-12.277956008911133,-10.586000442504885,-2.8510189056396484,-0.3488326966762543,-10.56762409210205,-7.983105659484863,-6.513349533081055,-7.892517566680908,-5.501902580261231,-11.93983554840088,-10.951767921447754,-9.661402702331545,-7.887818336486816,-6.796143054962158,-9.010946273803713,-2.266094446182251
