,agent0_panda,agent0_sea turtle,agent0_koala,agent0_peacock,agent0_lion,agent0_dolphin,agent0_octopus,agent0_snow leopard,agent0_quokka,agent0_sea otter,agent0_honeybee,agent0_elephant,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_orangutan,agent0_chimpanzee,agent1_panda,agent1_sea turtle,agent1_koala,agent1_peacock,agent1_lion,agent1_dolphin,agent1_octopus,agent1_snow leopard,agent1_quokka,agent1_sea otter,agent1_honeybee,agent1_elephant,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_orangutan,agent1_chimpanzee,agent2_panda,agent2_sea turtle,agent2_koala,agent2_peacock,agent2_lion,agent2_dolphin,agent2_octopus,agent2_snow leopard,agent2_quokka,agent2_sea otter,agent2_honeybee,agent2_elephant,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_orangutan,agent2_chimpanzee,agent3_panda,agent3_sea turtle,agent3_koala,agent3_peacock,agent3_lion,agent3_dolphin,agent3_octopus,agent3_snow leopard,agent3_quokka,agent3_sea otter,agent3_honeybee,agent3_elephant,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_orangutan,agent3_chimpanzee,agent4_panda,agent4_sea turtle,agent4_koala,agent4_peacock,agent4_lion,agent4_dolphin,agent4_octopus,agent4_snow leopard,agent4_quokka,agent4_sea otter,agent4_honeybee,agent4_elephant,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_orangutan,agent4_chimpanzee,agent5_panda,agent5_sea turtle,agent5_koala,agent5_peacock,agent5_lion,agent5_dolphin,agent5_octopus,agent5_snow leopard,agent5_quokka,agent5_sea otter,agent5_honeybee,agent5_elephant,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_orangutan,agent5_chimpanzee
1,-9.339972496032717,-12.913732528686523,-9.808314323425291,-9.24256992340088,-5.907260894775391,-5.486294746398926,-5.8791985511779785,-7.58115291595459,-8.044257164001465,-9.54531955718994,-9.44782257080078,-5.697222709655762,-9.335600852966309,-8.685450553894043,-6.607443332672119,-10.777437210083008,-9.24807071685791,-7.288938522338867,-11.451592445373535,-8.286032676696777,-7.969547271728516,-6.728364944458008,-3.898072481155396,-1.8929952383041384,-6.3446784019470215,-5.05745267868042,-7.424024105072021,-5.588078498840332,-5.393181800842285,-7.887951374053955,-6.103762626647949,-6.411108016967773,-8.772727966308594,-6.960293292999268,-9.148361206054688,-12.410383224487305,-9.728020668029783,-10.83502960205078,-11.414082527160645,-3.439750909805298,-0.1720644831657409,-10.039621353149414,-6.356226921081543,-6.924167633056641,-7.643131732940674,-6.474643707275391,-11.770101547241213,-10.009252548217772,-9.647330284118652,-8.349824905395508,-7.609869956970215,-9.66396141052246,-12.079432487487791,-10.290447235107422,-11.556907653808594,-11.52223014831543,-3.776747226715088,-0.1780351996421814,-10.726311683654783,-6.564903259277344,-6.559427738189697,-7.644083499908447,-6.59360933303833,-12.263265609741213,-11.144161224365234,-9.716609001159668,-8.372733116149902,-7.294098854064941,-9.97317600250244,-11.968847274780272,-10.387691497802734,-11.657288551330566,-11.056214332580566,-3.976404905319214,-0.2312774509191513,-10.396978378295898,-6.793294429779053,-6.4389190673828125,-7.479528903961182,-7.095014572143555,-12.209112167358398,-12.050121307373049,-9.775174140930176,-8.600483894348145,-7.021652698516846,-10.42447280883789,-11.709497451782228,-10.552847862243652,-11.19786548614502,-10.419903755187988,-4.176470756530762,-0.4341557025909424,-11.044916152954102,-6.694653034210205,-6.376296520233154,-6.993073463439941,-7.089426040649414,-11.664226531982422,-12.71313762664795,-9.108439445495604,-8.964393615722656,-6.707343101501465
3,-9.175195693969728,-11.239129066467283,-8.712203025817871,-8.842792510986328,-6.760963439941406,-5.398557662963867,-5.118704319000244,-6.943586349487305,-7.591547012329102,-8.70416259765625,-8.32800579071045,-6.240180969238281,-8.6759672164917,-8.329046249389648,-6.455410003662109,-10.519903182983398,-8.325013160705566,-9.230774879455566,-12.425461769104004,-9.32634735107422,-10.958301544189451,-11.59687614440918,-3.4745051860809326,-0.3578439950942993,-9.577811241149902,-5.693699836730957,-7.061693668365479,-7.073490142822266,-7.429515838623047,-11.479646682739258,-10.13701629638672,-9.902009963989258,-8.277751922607422,-8.472803115844727,-9.79664421081543,-12.216323852539062,-10.268593788146973,-11.288729667663574,-11.807611465454102,-3.581404209136963,-0.3597689867019653,-10.294499397277832,-6.10016679763794,-6.881765842437744,-7.82463264465332,-7.357589244842529,-12.490428924560549,-12.230067253112791,-9.966178894042969,-8.260848045349121,-7.913353443145752,-9.405739784240724,-11.416585922241213,-9.800225257873535,-12.317936897277832,-11.029532432556152,-3.481597185134888,-0.5022035241127014,-9.94789695739746,-7.063875675201416,-6.519925117492676,-7.612793445587158,-6.936691284179688,-12.175844192504885,-11.845417976379396,-9.635395050048828,-7.82604455947876,-7.399792671203613,-8.956172943115234,-12.200819969177246,-9.334818840026855,-12.306918144226074,-10.721121788024902,-3.464581251144409,-0.4117879271507263,-9.827813148498535,-7.309893608093262,-6.888067245483398,-7.58795166015625,-6.584139823913574,-11.981579780578612,-10.996345520019531,-9.645124435424805,-7.717142105102539,-7.255832672119141,-8.922834396362305,-12.660236358642578,-9.400069236755373,-12.103141784667969,-10.143317222595217,-3.508752822875977,-0.332607090473175,-9.649903297424316,-7.511655330657959,-6.598508358001709,-7.329734325408935,-5.759618759155273,-11.292113304138184,-11.19719409942627,-9.004898071289062,-6.973803043365479,-6.686792850494385
8,-9.66458511352539,-12.249529838562012,-9.177170753479004,-8.06755256652832,-7.442991733551025,-6.095641613006592,-5.80108118057251,-6.8371782302856445,-8.10354995727539,-9.603568077087402,-8.317484855651855,-6.630568981170654,-8.52233600616455,-9.774906158447266,-6.100653171539307,-10.78658390045166,-8.90570068359375,-8.046733856201172,-10.4346923828125,-7.913841247558594,-8.04358196258545,-9.056373596191406,-4.17011308670044,-1.0558992624282837,-7.1066741943359375,-4.801512241363525,-6.739013195037842,-5.869108200073242,-6.5102314949035645,-8.774986267089844,-9.377164840698242,-7.231343746185303,-8.517105102539062,-7.15164852142334,-11.174053192138672,-12.030647277832031,-11.209364891052246,-11.910761833190918,-12.53303050994873,-4.722941875457764,-0.1796363890171051,-10.71509838104248,-6.576838970184326,-7.027306079864502,-8.207030296325684,-8.14775276184082,-13.27678394317627,-13.240742683410645,-10.828712463378906,-9.032442092895508,-8.590603828430176,-9.196592330932615,-12.16799545288086,-9.694738388061523,-10.417122840881348,-11.920120239257812,-5.574717998504639,-0.3203405439853668,-7.499718189239502,-4.973179340362549,-6.493497848510742,-8.492512702941895,-8.177855491638184,-12.550793647766112,-10.780023574829102,-10.110506057739258,-7.982498645782471,-8.970780372619629,-8.207456588745117,-12.27844524383545,-9.60972023010254,-11.92135524749756,-11.498128890991213,-4.602529048919678,-0.2934124767780304,-6.904037952423096,-6.160910606384277,-5.566790580749512,-7.369156837463379,-6.986709117889404,-12.778300285339355,-8.121624946594238,-10.255234718322754,-7.6850433349609375,-8.357075691223145,-8.202373504638672,-9.79275131225586,-8.945764541625977,-10.954057693481444,-9.633130073547363,-4.116160869598389,-0.4216332733631134,-8.517851829528809,-6.47401762008667,-5.196294784545898,-6.238175392150879,-5.512832164764404,-11.074251174926758,-9.692076683044434,-8.084816932678223,-7.306732177734375,-6.4984517097473145
15,-8.597216606140137,-11.186176300048828,-9.044015884399414,-7.830947875976562,-5.562010765075684,-5.785202980041504,-5.642131328582764,-6.372916221618652,-7.649494647979736,-8.851251602172852,-7.787722587585449,-5.6390581130981445,-8.14724063873291,-7.912103652954102,-5.46200704574585,-10.527383804321287,-8.11551284790039,-8.84444522857666,-13.173576354980469,-9.642831802368164,-8.318131446838379,-7.9149346351623535,-5.2777838706970215,-2.077051877975464,-8.502949714660645,-6.399349689483643,-9.034754753112791,-6.405594348907471,-6.435786724090576,-8.943232536315918,-8.330816268920898,-7.668158054351807,-9.989496231079102,-7.7439284324646,-9.59176540374756,-11.488445281982422,-9.923562049865724,-11.455804824829102,-11.441625595092772,-3.257627010345459,-0.2747101485729217,-10.220110893249512,-7.315248489379883,-6.66700553894043,-7.333639144897461,-6.6152024269104,-12.25479507446289,-11.6207857131958,-9.907018661499023,-8.199763298034668,-7.529235363006592,-9.604045867919922,-11.76677703857422,-9.939046859741213,-12.36070442199707,-11.011844635009766,-3.459461212158203,-0.3282933235168457,-9.987929344177246,-7.3309807777404785,-6.773431301116943,-7.667193412780762,-6.734798431396484,-12.049304008483888,-11.60954475402832,-9.922683715820312,-8.238438606262207,-7.130263805389404,-9.19944667816162,-11.177480697631836,-9.780879974365234,-12.019538879394531,-10.796575546264648,-3.270930767059326,-0.2792703509330749,-9.67128562927246,-7.26330041885376,-6.379916667938232,-7.486816883087158,-6.337826251983643,-11.844282150268556,-11.35297679901123,-9.629806518554688,-8.038534164428711,-7.065474987030029,-8.924615859985352,-12.01356315612793,-9.678145408630373,-11.542872428894045,-10.00282859802246,-3.3175415992736816,-0.3845766484737396,-9.864197731018066,-6.542298316955566,-6.308878421783447,-7.072299480438232,-6.481196880340576,-10.73537826538086,-11.71681785583496,-8.911316871643066,-7.899147033691406,-6.825738430023193
2,-8.506793022155762,-11.196847915649414,-8.181009292602539,-7.453649520874023,-4.939628601074219,-5.094517707824707,-4.909657001495361,-6.858221054077148,-7.832019805908203,-9.082253456115724,-7.278049468994141,-4.85252857208252,-8.094202995300293,-7.524013519287109,-5.523665428161621,-10.23648166656494,-7.619376182556152,-6.553601264953613,-9.93482494354248,-7.305359840393066,-8.419361114501953,-5.867946624755859,-3.0379295349121094,-1.605430245399475,-7.138622283935547,-6.3179931640625,-6.461705207824707,-5.994931221008301,-3.755276679992676,-7.746444225311279,-6.155009269714356,-6.090475082397461,-7.804527282714844,-6.095098495483398,-10.072056770324709,-11.45128059387207,-10.425439834594728,-12.465861320495604,-11.196152687072754,-3.228841543197632,-0.349075049161911,-10.899542808532717,-8.113204956054688,-6.907055854797363,-7.404844760894775,-6.523172855377197,-12.346857070922852,-11.675151824951172,-10.209238052368164,-8.5441312789917,-6.637704849243164,-9.070158004760742,-12.400718688964844,-9.9347562789917,-12.22384262084961,-10.731261253356934,-2.5916876792907715,-0.3522467613220215,-10.299534797668455,-7.800317287445068,-6.548903942108154,-7.756072998046875,-5.888956546783447,-11.995820045471191,-10.935519218444824,-9.694490432739258,-7.738800525665283,-6.766906261444092,-9.754701614379885,-11.554844856262209,-10.458415985107422,-12.088797569274902,-10.889301300048828,-3.3220272064208984,-0.3418306410312652,-10.789445877075195,-7.832273006439209,-6.84337329864502,-7.67302942276001,-6.3207597732543945,-12.28449535369873,-11.701272010803224,-9.742168426513672,-8.37983226776123,-6.684648036956787,-10.3887939453125,-11.621749877929688,-11.098084449768066,-12.209367752075195,-10.911420822143556,-3.8057923316955566,-0.2717529535293579,-11.24218463897705,-7.39810037612915,-6.674539566040039,-7.797806739807129,-6.465029239654541,-12.220701217651367,-12.185239791870115,-9.635457038879396,-8.519885063171387,-6.890511512756348
14,-8.212196350097656,-12.050710678100586,-8.976215362548828,-7.009315967559815,-5.16322135925293,-4.984217643737793,-4.982511043548584,-6.108748435974121,-7.27662181854248,-8.138221740722656,-8.273266792297363,-5.024249076843262,-8.41148853302002,-6.965433120727539,-5.441423416137695,-10.410399436950684,-9.002975463867188,-9.476272583007812,-11.555243492126465,-10.23294448852539,-11.4852933883667,-11.790131568908691,-3.83370852470398,-0.3021160960197449,-10.13111972808838,-6.953342437744141,-7.001235485076904,-7.438756942749023,-7.0815629959106445,-12.48580837249756,-10.745704650878906,-10.197379112243652,-8.363666534423828,-7.826528072357178,-8.652305603027344,-10.544107437133787,-9.726849555969238,-11.591228485107422,-10.666725158691406,-3.091160297393799,-0.3052637577056885,-9.637531280517578,-7.598128318786621,-6.544253349304199,-7.231356143951416,-6.198495388031006,-12.221309661865234,-10.205018997192385,-9.835061073303224,-7.998707294464111,-7.095351696014404,-8.87248706817627,-11.564374923706056,-10.365018844604492,-12.00516414642334,-10.020119667053224,-3.429161310195923,-0.4997855722904205,-8.55990982055664,-7.948659896850586,-6.1297101974487305,-6.208921432495117,-6.354680061340332,-12.393988609313965,-7.898385524749756,-10.243414878845217,-8.392600059509277,-7.846142768859863,-7.926729679107666,-11.445451736450195,-9.753459930419922,-12.043872833251951,-10.066083908081056,-3.0474324226379395,-0.3867418169975281,-8.334338188171387,-8.20694637298584,-5.8977885246276855,-6.322692394256592,-5.962153911590576,-12.29558563232422,-7.534969329833984,-10.19298267364502,-7.967386722564697,-8.050993919372559,-8.79367446899414,-12.383211135864258,-11.461875915527344,-13.00575065612793,-10.56185817718506,-3.613477945327759,-0.4748882055282593,-8.67856216430664,-8.221952438354492,-6.084643363952637,-6.173401832580566,-6.040897369384766,-12.941542625427246,-7.931756973266602,-10.818588256835938,-8.534231185913086,-8.635326385498047
12,-7.743195533752441,-11.043367385864258,-8.29197883605957,-6.514527797698975,-4.666569709777832,-4.860828399658203,-4.870357036590576,-5.843858242034912,-6.533718585968018,-8.07601261138916,-7.663395881652832,-4.347170829772949,-7.65130090713501,-7.447264671325684,-4.747692584991455,-9.490163803100586,-7.736259937286377,-9.242427825927734,-12.58084487915039,-10.66976833343506,-11.888886451721191,-12.67831039428711,-3.540461301803589,-0.2731936573982239,-10.519947052001951,-6.576273918151856,-7.211617469787598,-8.143251419067383,-7.560985088348389,-12.514670372009276,-10.920537948608398,-10.742231369018556,-8.951889991760254,-9.24881649017334,-9.373489379882812,-11.28591251373291,-10.523991584777832,-12.15467643737793,-11.476975440979004,-3.48535680770874,-0.2215097546577453,-10.148115158081056,-7.326417922973633,-6.702948570251465,-8.058195114135742,-6.799410343170166,-12.62450122833252,-11.5262451171875,-10.130343437194824,-8.282953262329102,-7.860709190368652,-8.319196701049805,-9.726412773132324,-9.057904243469238,-11.05842399597168,-10.208361625671388,-3.906589984893799,-0.2108836770057678,-8.845392227172852,-7.05844783782959,-5.985136985778809,-6.381710052490234,-5.410811901092529,-11.231803894042969,-10.772859573364258,-8.71549129486084,-7.5378336906433105,-6.895301818847656,-8.899723052978516,-9.554043769836426,-8.931447982788086,-10.876535415649414,-10.204673767089844,-3.936113357543945,-0.2639053463935852,-9.186985969543455,-7.086730480194092,-6.096553325653076,-6.036629676818848,-5.33828067779541,-11.508012771606444,-11.170130729675291,-9.161603927612305,-7.75506067276001,-7.06488847732544,-9.67463207244873,-10.392099380493164,-10.240744590759276,-12.081357955932615,-10.574212074279783,-3.726326942443848,-0.2820938527584076,-10.526049613952637,-8.04643726348877,-6.139474868774414,-6.361780643463135,-4.941755294799805,-12.189743041992188,-11.276488304138184,-9.416765213012695,-8.074772834777832,-6.793738842010498
21,-9.806642532348633,-12.757229804992676,-10.10389232635498,-10.258363723754885,-6.988804817199707,-5.97678279876709,-6.290461540222168,-8.287370681762695,-9.153815269470217,-9.863506317138672,-9.643632888793944,-6.332411766052246,-9.09572696685791,-9.617246627807615,-7.446945667266846,-10.877215385437012,-9.565865516662598,-10.182697296142578,-12.324865341186523,-9.429170608520508,-8.360384941101074,-10.487548828125,-4.131679534912109,-0.376322478055954,-9.18105411529541,-5.940762996673584,-7.865452766418457,-6.9051618576049805,-7.607785224914551,-10.936331748962402,-12.094444274902344,-9.44110107421875,-9.988083839416504,-9.35931396484375,-9.66597843170166,-10.976117134094238,-9.839797973632812,-11.381092071533203,-11.262843132019045,-3.377655506134033,-0.2901846170425415,-10.589009284973145,-7.586360931396484,-6.876888275146484,-7.344274520874023,-6.314553737640381,-12.238268852233888,-11.191287994384766,-9.733331680297852,-9.02038288116455,-7.97674560546875,-9.192484855651855,-10.665374755859377,-9.359037399291992,-10.725756645202637,-11.112053871154783,-3.338484764099121,-0.350034087896347,-10.03449249267578,-7.236959934234619,-6.625087738037109,-7.442091464996338,-6.096975326538086,-11.694219589233398,-10.846503257751465,-9.436697959899902,-8.853492736816406,-7.996827602386475,-8.64773941040039,-10.717643737792969,-9.6085844039917,-11.91090488433838,-10.570008277893066,-2.784693956375122,-0.448983371257782,-9.899721145629885,-7.452925682067871,-6.335474967956543,-7.455012321472168,-5.959371566772461,-11.47973918914795,-9.569581985473633,-9.36939811706543,-8.272660255432129,-7.395044326782227,-8.797032356262207,-10.649272918701172,-10.14394760131836,-11.69797420501709,-10.373661041259766,-3.1119165420532227,-0.3948871791362762,-10.047245025634766,-7.201549053192139,-5.93467378616333,-7.407281398773193,-5.622620582580566,-11.232916831970217,-10.00898551940918,-8.820799827575684,-8.129417419433594,-7.172721862792969
23,-11.119022369384766,-12.848841667175291,-11.752877235412598,-9.355209350585938,-8.138900756835938,-7.116481304168701,-6.930923938751221,-8.156219482421875,-10.06484603881836,-10.554677963256836,-10.960567474365234,-8.307013511657715,-11.284710884094238,-11.680307388305664,-8.429384231567383,-12.33933448791504,-11.529528617858888,-9.99857234954834,-10.904485702514648,-10.360419273376465,-8.287701606750488,-8.354785919189453,-5.909917831420898,-4.88930606842041,-6.879709243774414,-8.1876859664917,-8.604841232299805,-9.385244369506836,-8.185101509094238,-11.127493858337402,-11.787707328796388,-8.777198791503906,-11.413996696472168,-11.873316764831545,-10.555631637573242,-11.512703895568848,-10.290691375732422,-10.283708572387695,-12.640351295471191,-5.048311710357666,-0.3216097056865692,-8.969271659851074,-6.417908668518066,-7.755882740020752,-8.0843505859375,-8.437064170837402,-12.741865158081056,-13.541983604431152,-11.031829833984377,-9.521778106689451,-9.485604286193848,-11.056217193603516,-11.721856117248535,-11.337590217590332,-11.995774269104004,-13.058856010437012,-4.729349136352539,-0.2080724239349365,-10.329703330993652,-6.911865234375,-7.338702201843262,-8.302873611450195,-8.039406776428223,-13.657554626464844,-13.748157501220703,-11.211932182312012,-9.40037727355957,-8.872699737548828,-11.386877059936523,-11.338112831115724,-10.87995147705078,-11.440230369567873,-13.246849060058594,-5.4906439781188965,-0.1718694269657135,-10.307377815246582,-7.212482929229736,-7.509899616241455,-8.097564697265625,-8.547085762023926,-13.682367324829102,-14.651241302490234,-11.361973762512209,-9.89296054840088,-9.294573783874512,-11.215283393859863,-11.269222259521484,-11.566208839416504,-13.067259788513184,-12.410982131958008,-4.363455295562744,-0.1570862382650375,-11.646821975708008,-8.442870140075684,-6.711209774017334,-7.559477806091309,-6.852009296417236,-13.29417324066162,-13.231477737426758,-10.449907302856444,-9.1249361038208,-7.908808708190918
9,-9.229172706604004,-11.568289756774902,-9.182592391967772,-7.307305335998535,-5.84058141708374,-5.986746311187744,-5.9264421463012695,-6.371585369110107,-7.462949752807617,-9.120108604431152,-9.061807632446287,-6.006119251251221,-8.861712455749512,-8.459293365478516,-6.14410400390625,-10.795632362365724,-8.929387092590332,-11.029220581054688,-12.229904174804688,-10.901015281677246,-11.698478698730469,-12.232609748840332,-4.566117286682129,-0.2267308682203292,-10.418880462646484,-6.408124923706055,-6.998623371124268,-8.239562034606934,-8.051321983337402,-12.799901008605955,-13.607009887695312,-10.585865020751951,-8.97624397277832,-8.320524215698242,-9.747289657592772,-11.40412139892578,-10.40573501586914,-11.693389892578123,-10.837204933166504,-3.4346089363098145,-0.311659425497055,-10.409782409667969,-7.14654541015625,-6.411248207092285,-7.4335246086120605,-6.492189884185791,-11.992822647094728,-11.600082397460938,-9.618362426757812,-8.429920196533203,-6.878176212310791,-9.621734619140623,-11.103078842163086,-10.42405605316162,-11.316231727600098,-10.70816421508789,-3.4483096599578857,-0.3840571343898773,-10.091570854187012,-6.948763847351074,-6.265336513519287,-7.341414928436279,-6.586638450622559,-11.860634803771973,-11.810483932495115,-9.550810813903809,-8.407232284545898,-6.954926490783691,-9.043557167053224,-10.92166519165039,-9.369091987609863,-11.491986274719238,-10.646517753601074,-3.2268407344818115,-0.5332847237586975,-9.77916431427002,-7.632762908935547,-6.714231967926025,-7.016385555267334,-6.460094928741455,-11.44344425201416,-10.51696491241455,-9.625611305236816,-8.182758331298828,-6.932529926300049,-10.193001747131348,-11.817512512207031,-10.679156303405762,-12.118485450744627,-11.014440536499023,-3.0713956356048584,-0.2940455079078674,-11.17951202392578,-8.092316627502441,-6.819315910339356,-7.930615901947021,-5.925841331481934,-12.283488273620604,-11.765639305114746,-9.760482788085938,-8.253748893737793,-6.667416572570801
