panda,sea turtle,koala,peacock,lion,dolphin,octopus,snow leopard,quokka,sea otter,honeybee,elephant,kangaroo,penguin,giraffe,orangutan,chimpanzee,random
798,321,0,108,300,902,8,686,250,805,216,150,200,386,645,36,9,482
579,904,584,396,333,12,82,989,256,782,255,600,710,96,657,41,123,912
358,442,902,786,106,305,84,968,500,842,144,851,101,486,652,378,573,524
288,922,884,432,419,904,86,127,125,448,720,152,622,207,654,368,373,54
128,304,94,407,619,3,81,398,377,982,256,453,619,509,679,363,156,328
960,222,184,386,103,528,80,70,750,421,288,153,690,506,660,822,363,625
457,808,284,204,116,321,10,687,15,831,123,800,620,481,677,836,193,595
420,722,3,408,416,456,83,970,480,974,911,855,686,768,655,418,306,507
430,714,484,972,105,384,98,928,255,582,252,155,306,488,665,324,30,941
428,921,2,720,336,506,28,985,151,206,120,350,230,194,658,31,264,995
