,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_105,agent1_105,agent2_105,agent3_105,agent4_105,agent5_105
0,-6.072440147399902,-6.653014659881592,-6.974006175994873,-6.838981628417969,-5.960074424743652,-6.542337894439697,-0.7666134238243103,-0.1761302053928375,-10.477338790893556,-25.27316665649414,-25.281211853027344,-32.55741500854492
8,-7.262893676757812,-6.586938858032227,-6.199064254760742,-7.107287883758545,-7.307415008544922,-7.274139881134033,-1.373660683631897,-0.105485089123249,-7.760600090026855,-18.002525329589844,-19.189453125,-19.17895698547364
16,-5.972186088562012,-5.765974521636963,-6.7773051261901855,-6.724786281585693,-6.724786281585693,-6.48124361038208,-0.427914559841156,-0.1977143883705139,-10.997002601623535,-9.599477767944336,-9.599477767944336,-15.783787727355955
2,-5.750915050506592,-5.47688102722168,-5.802283763885498,-6.05659294128418,-6.643739700317383,-6.840359687805176,-0.3277220726013183,-0.0322304964065551,-0.2535044848918915,-3.18052339553833,-11.918978691101074,-13.386651039123535
1,-5.741832256317139,-5.417887210845947,-5.887535572052002,-5.887535572052002,-5.887535572052002,-6.00640869140625,-0.3578107953071594,-10.46725845336914,-10.42646312713623,-10.42646312713623,-10.42646312713623,-12.524280548095703
9,-6.118938446044922,-5.867190837860107,-5.449420928955078,-6.565401077270508,-6.448649883270264,-6.467588901519775,-0.4627832770347595,-0.4792944192886352,-1.5154458284378052,-8.867615699768066,-6.887971878051758,-7.489869117736816
17,-6.021846294403076,-6.97544527053833,-5.448103427886963,-6.517032623291016,-6.449883937835693,-6.59972620010376,-0.2136283367872238,-0.0078782960772514,-0.18184794485569,-7.885279178619385,-8.5111665725708,-11.265612602233888
3,-5.573508739471436,-6.207522869110107,-5.944661140441895,-6.436391353607178,-6.714240550994873,-6.986078262329102,-0.0293897837400436,-0.0715501680970192,-0.8529103994369507,-0.3482604920864105,-0.3652977645397186,-15.116418838500977
10,-5.829894542694092,-5.638993263244629,-5.516038417816162,-6.242212772369385,-6.684811115264893,-6.665980339050293,-1.80991280078888,-0.2009812146425247,-0.4281587302684784,-7.018874168395996,-6.9471435546875,-10.963037490844728
11,-6.39486837387085,-5.586276531219482,-5.279489517211914,-5.3015618324279785,-5.57753324508667,-5.328373908996582,-0.7187471985816956,-0.4713353216648102,-5.633095264434815,-3.958085060119629,-28.51812171936035,-29.545936584472656
18,-5.877166271209717,-6.647232055664063,-6.257147789001465,-6.406484603881836,-6.256436824798584,-6.0333123207092285,-1.0715709924697876,-0.1282748579978943,-0.0198144260793924,-0.3107979893684387,-11.216700553894045,-11.150894165039062
19,-6.123077392578125,-6.016761302947998,-6.224170207977295,-5.86262845993042,-5.442452430725098,-6.56943941116333,-0.8320862054824829,-5.360549449920654,-2.798764944076538,-3.964210510253906,-0.2438988983631134,-16.03067398071289
5,-5.755672931671143,-5.84519624710083,-5.595766067504883,-6.405412673950195,-6.19171953201294,-6.642372608184815,-0.2849529087543487,-0.2678717076778412,-0.1185656636953353,-5.179519176483154,-7.102470397949219,-26.90378761291504
4,-5.886361598968506,-6.3868937492370605,-6.5234375,-5.950339317321777,-6.228904247283936,-6.361557960510254,-0.3567250370979309,-0.2179457992315292,-0.8849297165870667,-6.40322732925415,-24.57828712463379,-27.622295379638672
12,-5.971636295318604,-6.522007465362549,-6.368533134460449,-6.005773544311523,-6.374880790710449,-7.023216247558594,,,,,,
13,-5.827831745147705,-5.9205708503723145,-6.97982120513916,-5.714852333068848,-5.730654239654541,-5.647088050842285,-0.483659565448761,-0.1157217249274253,-20.981630325317383,-20.50514030456543,-19.76184844970703,-19.393062591552734
7,-6.082895278930664,-5.900196075439453,-6.637297630310059,-7.155767917633057,-7.003840923309326,-6.882825374603272,-1.7323226928710938,-0.1142219975590705,-0.0021485844627022,-2.471116542816162,-24.641281127929688,-22.15026092529297
6,-5.672888278961182,-5.81562614440918,-6.035182952880859,-6.780810832977295,-6.713810920715332,-6.61190128326416,-0.0158961433917284,-0.1223896220326423,-0.1466454863548278,-6.062806606292725,-6.301717758178711,-12.110491752624512
15,-6.094912052154541,-6.087563991546631,-6.392193794250488,-6.949752807617188,-6.921052932739258,-6.766658306121826,,,,,,
14,-6.321109294891357,-6.233303070068359,-6.103931903839111,-4.796762466430664,-4.791670799255371,-5.028913021087647,,,,,,
