,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.085611343383789,-4.807671546936035,-5.4748969078063965,-4.760025501251221,-5.525733947753906,-4.693058490753174
1,-5.379954814910889,-5.6394124031066895,-7.069760322570801,-7.0246901512146,-7.307467937469482,-7.149239540100098
2,-8.194026947021484,-6.861188888549805,-7.557595252990723,-6.926322937011719,-6.362162113189697,-7.756036281585693
3,-4.949388980865479,-3.793204545974731,-5.311553001403809,-6.584832668304443,-6.12827730178833,-6.495906829833984
5,-5.470359325408936,-5.284895420074463,-5.0568437576293945,-5.103309631347656,-7.013663291931152,-7.248574733734131
7,-6.05685567855835,-5.186238765716553,-6.283501148223877,-6.560710906982422,-6.872054100036621,-6.912550449371338
6,-4.921457767486572,-4.622281074523926,-6.169483184814453,-6.27410888671875,-6.218034744262695,-6.51910400390625
8,-5.866361141204834,-4.928442001342773,-6.738644599914551,-7.332850933074951,-7.55344820022583,-7.084208965301514
9,-5.815187931060791,-4.46393346786499,-4.6553215980529785,-6.520727634429932,-6.971902847290039,-6.522770404815674
10,-5.065073490142822,-5.70341157913208,-6.899587631225586,-6.681451797485352,-7.23633861541748,-6.676733016967773
11,-5.204328536987305,-5.440298557281494,-4.120716571807861,-6.917213439941406,-7.013626575469971,-6.863730430603027
13,-5.278815269470215,-3.945561408996582,-5.555295944213867,-6.1530351638793945,-6.386470794677734,-6.541316509246826
12,-4.472975254058838,-5.732777118682861,-5.997274398803711,-6.885721206665039,-6.770074844360352,-6.464600086212158
14,-5.8207292556762695,-4.753707408905029,-5.27829647064209,-5.327717304229736,-5.610366344451904,-6.510963439941406
23,-5.309418201446533,-5.807353973388672,-6.202297210693359,-6.116797924041748,-5.383523941040039,-6.415174007415772
16,-4.339736461639404,-5.4876017570495605,-6.580453872680664,-6.241494178771973,-6.248055458068848,-6.322921752929688
17,-5.456503868103027,-5.124597549438477,-4.560154438018799,-5.8326592445373535,-6.628870964050293,-7.120687007904053
18,-6.210887908935547,-5.270735263824463,-4.454596042633057,-4.7613067626953125,-5.116892337799072,-6.772930145263672
19,-4.878586292266846,-5.565999984741211,-5.58917236328125,-6.341842651367188,-6.7150983810424805,-6.996646881103516
4,-5.192765235900879,-5.1628851890563965,-5.866544246673584,-6.567886352539063,-6.71422290802002,-6.7067413330078125
22,-5.798033237457275,-5.815690517425537,-4.553729057312012,-4.460649013519287,-5.705472469329834,-6.885214805603027
21,-5.006758213043213,-5.183876037597656,-5.204720973968506,-6.027872562408447,-6.333623886108398,-6.2496538162231445
15,-6.075730323791504,-4.791046619415283,-4.247988224029541,-6.315177440643311,-6.8879876136779785,-6.732873916625977
20,-4.953389644622803,-5.462506771087647,-5.252344131469727,-5.708667755126953,-4.4668474197387695,-6.821154594421387
