,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-0.0175074189901351,-0.0613175332546234,-0.04479955509305,-0.0401797369122505,-0.058872252702713,-0.1699045747518539
1,-0.0345586016774177,-0.0505459494888782,-0.0297118835151195,-0.0396348424255847,-0.0198506414890289,-0.0469946935772895
2,-0.015175481326878,-0.1207037940621376,-0.0958836525678634,-0.1258169561624527,-0.2981597781181335,-0.3205628395080566
3,-0.0348555520176887,-0.0651571899652481,-0.1161554828286171,-0.0519354715943336,-0.044682826846838,-0.0932269617915153
5,-0.0168378539383411,-0.0427636206150054,-0.0571858249604702,-0.0389955304563045,-0.0270744021981954,-0.1731852144002914
7,-0.0276436898857355,-0.0425702296197414,-0.1137582808732986,-0.0807235464453697,-0.0459631383419036,-0.1515890955924987
6,-0.0136190066114068,-0.027815643697977,-0.0392878428101539,-0.0288708284497261,-0.0465267822146415,-0.0904968827962875
8,-0.0238578915596008,-0.051788106560707,-0.0778255239129066,-0.0457544215023517,-0.0277388878166675,-0.0279452539980411
9,-0.0232157465070486,-0.0447586327791214,-0.0645420402288436,-0.201319083571434,-0.1067578792572021,-0.1347260922193527
10,-0.0189689639955759,-0.0473232232034206,-0.0394260622560977,-0.0379578657448291,-0.0767874419689178,-0.1241963356733322
11,-0.0148721551522612,-0.01541662029922,-0.1106288954615593,-0.0436534471809864,-0.0608876906335353,-0.0841833055019378
13,-0.0215759687125682,-0.0386868417263031,-0.0122393509373068,-0.0334891155362129,-0.1662015318870544,-0.2508915364742279
12,-0.0133795505389571,-0.0397576615214347,-0.0241059083491563,-0.0426666438579559,-0.0406248681247234,-0.0821728184819221
14,-0.0234702080488204,-0.1754862815141677,-0.3655282258987427,-0.2543930113315582,-0.4165925979614258,-0.4570941925048828
23,-0.0253449454903602,-0.0422591008245945,-0.0424314178526401,-0.0762060210108757,-0.0572796016931533,-0.0942573547363281
16,-0.017045896500349,-0.0727088674902916,-0.0467833466827869,-0.0559296160936355,-0.0525333136320114,-0.0859248414635658
17,-0.0234209522604942,-0.0929435938596725,-0.066358134150505,-0.0913520008325576,-0.1800214946269989,-0.4574780464172363
18,-0.0197576116770505,-0.0338471196591854,-0.4237957596778869,-0.2522814571857452,-0.2257931679487228,-0.3310427665710449
19,-0.0292248167097568,-0.0674819871783256,-0.0700968354940414,-0.1337326318025589,-0.0696246102452278,-0.1396972388029098
4,-0.0175354145467281,-0.0535022988915443,-0.0654434114694595,-0.0185351483523845,-0.064265064895153,-0.0854499563574791
22,-0.0175419747829437,-0.0477808713912963,-0.1036430150270462,-0.3075962960720062,-0.2329677641391754,-0.183065578341484
21,-0.0151316849514842,-0.0593953095376491,-0.124311938881874,-0.0812555253505706,-0.0627581253647804,-0.1124476417899131
15,-0.0236722193658351,-0.0383219607174396,-0.0871723592281341,-0.1201443001627922,-0.1078055724501609,-0.1784729808568954
20,-0.0160262528806924,-0.0564070083200931,-0.0436809472739696,-0.0288627203553915,-0.0401883237063884,-0.0648978129029274
