,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin,agent0_444,agent1_444,agent2_444,agent3_444,agent4_444,agent5_444
0,-0.3086793124675751,-0.5453634262084961,-0.0739352107048034,-0.1561428010463714,-0.1682859063148498,-0.1341976374387741,-0.4287970960140228,-0.3811183571815491,-15.677976608276367,-14.900019645690918,-17.167926788330078,-19.200082778930664
2,-0.4570671021938324,-0.0525130666792392,-0.0297802705317735,-0.0167554449290037,-0.0215973183512687,-0.0324229821562767,-0.3270270824432373,-9.325775146484377,-8.432968139648438,-0.1174193769693374,-6.468526363372803,-12.312561988830566
4,-0.3358640670776367,-0.3258655369281769,-0.1160386204719543,-0.307035744190216,-0.0620554536581039,-0.0881754904985427,-0.8620415925979614,-0.472608745098114,-3.313586711883545,-0.2797948718070984,-10.824695587158203,-15.963666915893556
6,-0.1793342232704162,-0.0544144622981548,-0.1166756302118301,-0.1329905539751052,-0.0873591676354408,-0.3150828778743744,-1.4892315864562988,-4.9730658531188965,-10.1268892288208,-15.44963836669922,-16.105070114135742,-8.551387786865234
5,-0.499614804983139,-0.1530613303184509,-0.0656841173768043,-0.034789815545082,-0.0589996986091136,-0.0616198740899562,-0.4495392441749573,-0.0657992586493492,-0.6409677863121033,-6.158282279968262,-10.70406436920166,-19.655349731445312
1,-0.321384996175766,-0.3881720900535583,-0.1816067844629287,-0.1745797544717788,-0.2475839853286743,-0.2949007153511047,-0.4291611611843109,-6.006825923919678,-7.415117263793945,-20.683624267578125,-15.582807540893556,-17.894515991210938
3,-0.2336719036102295,-0.2149607241153717,-0.1316917389631271,-0.0727949887514114,-0.1344874799251556,-0.0722592696547508,-0.0869049653410911,-0.2790156006813049,-0.1779550164937973,-1.9923843145370483,-0.0594908557832241,-14.278399467468262
7,-0.8639609217643738,-0.104388378560543,-0.1199325323104858,-0.1003886014223098,-0.1003886014223098,-0.0841704830527305,-0.7929821014404297,-0.4174023866653442,-15.246150016784668,-16.156667709350586,-16.156667709350586,-17.283668518066406
8,-1.0258774757385254,-0.4541579484939575,-0.045675840228796,-0.1169527843594551,-0.07744762301445,-0.19094979763031,-1.6826740503311155,-0.0797827020287513,-1.012676477432251,-2.344409704208374,-8.443671226501465,-9.657581329345703
10,-0.4146420359611511,-0.1797778159379959,-0.1252852529287338,-0.0890991166234016,-0.0556137114763259,-0.0498669631779193,-0.9887959361076356,-2.295102834701538,-8.628812789916992,-9.966286659240724,-12.941678047180176,-19.794124603271484
12,-1.0365110635757446,-0.3038324415683746,-0.133397489786148,-0.1999449580907821,-0.134512186050415,-0.2097164839506149,-1.173345923423767,-0.2328813672065735,-1.4693913459777832,-10.3506498336792,-7.614172458648682,-14.34839916229248
14,-0.717603325843811,-0.3070902824401855,-0.1443004310131073,-0.2630282640457153,-0.2337172925472259,-0.1602053195238113,-1.2404102087020874,-2.0224528312683105,-4.436192512512207,-0.33061683177948,-28.45658493041992,-26.894163131713867
13,-0.3755117356777191,-0.1109021827578544,-0.0479195117950439,-0.0594709068536758,-0.0458879917860031,-0.0840732753276825,-0.4664891958236694,-0.663819432258606,-6.925657749176025,-5.621642589569092,-18.614551544189453,-18.029312133789062
11,-0.2377686351537704,-0.0330953449010849,-0.0422357879579067,-0.0810835063457489,-0.0784548297524452,-0.0929885655641555,-0.8057053089141846,-3.323695659637451,-5.998637199401856,-12.697577476501465,-15.321382522583008,-18.892881393432617
9,-0.4919089078903198,-0.1616013348102569,-0.151233360171318,-0.2420759797096252,-0.1314266920089721,-0.1769773960113525,-0.8042318224906921,-6.236709117889404,-18.31023597717285,-14.189796447753906,-16.274246215820312,-21.58634185791016
15,-0.3860266804695129,-0.1957729011774063,-0.0560054779052734,-0.0835562795400619,-0.0534565337002277,-0.0914234817028045,-0.7470311522483826,-1.807247281074524,-21.45368766784668,-18.25202178955078,-20.00345993041992,-18.86954498291016
18,-0.634981095790863,-0.1326717734336853,-0.1014925315976142,-0.0977992266416549,-0.0977992266416549,-0.0935220867395401,-0.8319811820983887,-0.1753865182399749,-1.2363502979278564,-16.767230987548828,-16.767230987548828,-18.84717559814453
16,-0.4473807215690613,-0.393925279378891,-2.068183660507202,-5.416943073272705,-1.0723810195922852,-0.1615310460329055,-0.4440173804759979,-0.2101299464702606,-0.0906100273132324,-0.2461766302585601,-20.374380111694336,-32.845272064208984
19,-0.4351910650730133,-0.2208232432603836,-0.1431041359901428,-0.0814912393689155,-0.1126880496740341,-0.0993220955133438,-0.3363658487796783,-0.6438788771629333,-8.765912055969238,-16.890871047973633,-17.080162048339844,-19.70183753967285
17,-0.3956701159477234,-0.2698385119438171,-0.1344307959079742,-0.0929630324244499,-0.0800357013940811,-0.0768290609121322,-0.4248226583003998,-0.2542793154716491,-16.726503372192383,-17.183015823364258,-17.010129928588867,-22.369516372680664
