,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-1.7534576654434204,-2.3342831134796143,-2.226794004440308,-1.811574459075928,-3.827254056930542,-3.5448546409606934
1,-1.36245596408844,-1.467235803604126,-1.125654697418213,-3.2693772315979004,-2.6843271255493164,-2.447882652282715
2,-1.262912034988403,-0.5694275498390198,-1.6067248582839966,-2.146970272064209,-2.040219783782959,-2.238105297088623
3,-1.2807666063308716,-0.927482008934021,-1.430961012840271,-1.6286414861679075,-1.9296033382415767,-2.084091663360596
5,-1.4513225555419922,-0.8229387402534485,-0.7546466588973999,-1.3177872896194458,-1.5335042476654053,-2.630418300628662
7,-1.7132495641708374,-1.574066162109375,-2.1295390129089355,-1.6494219303131104,-1.761169195175171,-2.430677890777588
6,-1.057145118713379,-1.9927902221679688,-1.942848443984985,-1.7307718992233276,-0.9321521520614624,-1.957929253578186
8,-1.6063542366027832,-1.9431003332138064,-2.603363275527954,-2.794431209564209,-2.642297744750977,-2.826817035675049
9,-1.8840548992156985,-1.652554631233215,-2.338559150695801,-1.6295785903930664,-1.843562364578247,-2.61129117012024
10,-1.871847152709961,-1.861222982406616,-2.1507606506347656,-1.9428610801696773,-2.4432404041290283,-3.299798011779785
11,-2.1572556495666504,-1.3133264780044556,-2.7959563732147217,-1.6841257810592651,-2.341021776199341,-2.9280238151550293
13,-1.2243309020996094,-1.3051176071166992,-1.4571852684020996,-1.5162205696105957,-2.180785179138184,-2.116403102874756
12,-1.4228065013885498,-2.46412205696106,-2.016265869140625,-2.1264188289642334,-2.0648353099823,-2.8904852867126465
14,-1.9125664234161377,-1.6149625778198242,-2.638202428817749,-2.9930481910705566,-3.0729660987854004,-3.0035340785980225
23,-1.3792545795440674,-1.4114761352539062,-2.1847023963928223,-2.184009552001953,-2.2602293491363525,-2.892120838165283
16,-1.3818395137786863,-1.171900749206543,-1.8042547702789309,-1.791824460029602,-2.0315213203430176,-2.049018859863281
17,-1.211465835571289,-1.0930949449539185,-1.0620652437210083,-2.418176889419556,-2.65911078453064,-2.8087642192840576
18,-1.664455533027649,-1.7096691131591797,-1.1664642095565796,-2.5207455158233643,-3.4149980545043945,-4.648141384124756
19,-2.0586838722229004,-1.4388355016708374,-1.65396249294281,-2.414856195449829,-2.5318048000335693,-2.8837246894836426
4,-1.8178443908691408,-1.8762471675872805,-2.7107059955596924,-2.7580020427703857,-3.503000974655152,-2.590968132019043
22,-3.091461181640625,-2.001338481903076,-1.6988396644592283,-1.7523865699768066,-2.383678674697876,-2.507215738296509
21,-1.6605947017669678,-1.1341431140899658,-0.915740430355072,-1.6353152990341189,-1.3393950462341309,-2.265787363052368
15,-1.5152932405471802,-2.4907522201538086,-1.8631138801574707,-2.0008015632629395,-1.5543689727783203,-1.5201594829559326
20,-1.3757346868515017,-1.7489885091781616,-2.396008253097534,-2.2260055541992188,-1.3491511344909668,-3.401780128479004
