,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant,agent0_131,agent1_131,agent2_131,agent3_131,agent4_131,agent5_131
0,-1.1774840354919434,-2.4023263454437256,-2.438225030899048,-1.7596862316131592,-4.227019309997559,-3.5448546409606934,-1.082510471343994,-0.6127588152885437,-0.5185211300849915,-0.0405369214713573,-16.40508460998535,-18.39285659790039
2,-0.9651889801025392,-0.6679129004478455,-1.9617958068847656,-2.523867607116699,-2.333892345428467,-2.238105297088623,-0.5423033833503723,-0.2808373272418976,-3.165339469909668,-21.39015388488769,-27.179363250732425,-29.72935104370117
4,-0.9984081983566284,-1.6440197229385376,-2.8407516479492188,-3.125823736190796,-2.911007642745972,-2.590968132019043,-0.2207599580287933,-0.1885284334421157,-7.012864112854004,-8.394655227661133,-24.48434066772461,-21.778453826904297
6,-1.2203152179718018,-2.159433126449585,-1.686383605003357,-1.6826306581497192,-0.7628915309906006,-1.957929253578186,-0.0380699895322322,-1.9783164262771609,-0.869806170463562,-0.1301306784152984,-0.025162810459733,-0.0463979877531528
5,-0.8649839162826538,-0.8259100914001465,-0.7862182855606079,-1.0279490947723389,-1.1783781051635742,-2.630418300628662,-0.2575207948684692,-0.0468240827322006,-0.1654803156852722,-0.528412938117981,-1.822415471076965,-3.117931842803955
1,-1.2725770473480225,-1.6365710496902466,-0.5166809558868408,-2.247250556945801,-3.233819961547852,-2.447882652282715,-0.1009619534015655,-0.1699453890323639,-0.0530891939997673,-0.0088359890505671,-10.248384475708008,-21.629526138305664
3,-0.9157475829124452,-1.6751970052719116,-1.8324848413467407,-2.3804471492767334,-2.0071957111358643,-2.084091663360596,-0.0159762762486934,-0.5448612570762634,-0.1827080994844436,-11.49342441558838,-4.046961784362793,-4.2040557861328125
7,-1.4721392393112185,-1.862176418304444,-2.282381534576416,-2.1286184787750244,-2.306004047393799,-2.430677890777588,-0.5932136178016663,-2.281033754348755,-1.2809324264526367,-0.2333022803068161,-3.626258134841919,-17.880054473876953
8,-1.6411421298980713,-1.91108787059784,-2.750327110290528,-2.83540940284729,-2.810213565826416,-2.826817035675049,-4.0814595222473145,-2.055985450744629,-4.20741605758667,-19.402755737304688,-20.929874420166016,-18.13316345214844
10,-1.896431565284729,-1.7651554346084597,-1.522626876831055,-2.1961655616760254,-2.4605016708374023,-3.299798011779785,-1.1920807361602783,-0.0428509451448917,-1.5903359651565552,-9.62912940979004,-2.6056368350982666,-19.99897766113281
12,-1.3637149333953855,-2.5249786376953125,-2.2668612003326416,-3.218541145324707,-2.841695070266724,-2.8904852867126465,-1.3923935890197754,-1.3713244199752808,-0.2417314648628235,-7.06303071975708,-21.019136428833008,-20.16053771972656
14,-1.476693034172058,-1.3689966201782229,-2.4698920249938965,-2.986514091491699,-2.976734638214112,-3.0035340785980225,-1.2266244888305664,-3.219647169113159,-4.9772629737854,-10.143455505371094,-11.825343132019045,-11.323284149169922
13,-0.968411386013031,-1.2579957246780396,-1.5207278728485107,-1.284837007522583,-2.9443819522857666,-2.116403102874756,-0.4287064671516418,-0.0575570203363895,-0.0659415125846862,-0.0327260643243789,-8.201892852783203,-9.161534309387209
11,-2.274991750717163,-1.4782395362854004,-2.931408643722534,-2.0794878005981445,-1.9817442893981927,-2.9280238151550293,-1.0442819595336914,-0.0743407160043716,-0.1069042682647705,-7.22569465637207,-24.109878540039062,-27.865646362304688
18,-1.2652541399002075,-1.7708032131195068,-1.3575788736343384,-3.423218250274658,-4.811705589294434,-4.648141384124756,-0.3351122140884399,-0.0835377275943756,-0.0658549293875694,-0.5568453073501587,-18.927122116088867,-23.618406295776367
15,-0.9723317623138428,-2.1673672199249268,-2.275709629058838,-1.9836561679840088,-1.4747501611709597,-1.5201594829559326,-0.0425893068313598,-0.1900310665369033,-5.269932746887207,-4.407611846923828,-23.256908416748047,-23.937641143798828
9,-0.9332298040390016,-1.606548309326172,-2.5402579307556152,-1.4678205251693726,-2.02209997177124,-2.61129117012024,-0.8005861043930054,-0.7214636206626892,-0.5706377029418945,-5.233604431152344,-17.066152572631836,-27.43875312805176
16,-0.9871537685394288,-1.0156255960464478,-2.2101082801818848,-1.8592231273651123,-2.0322253704071045,-2.049018859863281,-0.451219230890274,-0.0301886424422264,-0.2587991952896118,-0.1191274225711822,-0.2233185023069381,-1.8767399787902832
19,-1.1190805435180664,-1.051692008972168,-2.553972244262696,-2.9285311698913574,-2.7531001567840576,-2.8837246894836426,-1.487679123878479,-0.1998763084411621,-0.1103248223662376,-8.515192031860352,-20.834945678710938,-13.99496841430664
17,-1.1789498329162598,-1.2373292446136477,-1.708307862281799,-2.2946906089782715,-2.6805567741394043,-2.8087642192840576,-0.2823799252510071,-0.4487760961055755,-0.1930364817380905,-5.665766716003418,-7.786215782165527,-9.923200607299805
