,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-1.6214646100997925,-1.4210352897644043,-0.6684935092926025,-3.2221031188964844,-3.608822822570801,-2.916354179382324
1,-1.2091326713562012,-1.3483805656433103,-1.0706905126571655,-3.411686897277832,-4.526513576507568,-5.654353618621826
2,-0.9643746018409728,-1.0374655723571775,-1.484928846359253,-3.482263565063477,-2.163433074951172,-3.385317087173462
3,-1.2976160049438477,-0.5627500414848328,-1.4316638708114624,-3.56799054145813,-4.100064754486084,-2.674036741256714
5,-1.0750093460083008,-1.1482852697372437,-1.913197875022888,-4.255143165588379,-4.663161277770996,-4.922379970550537
7,-2.645926713943481,-0.9850623607635498,-1.3672351837158203,-1.2467864751815796,-1.5480769872665403,-1.1589101552963257
6,-0.2633994221687317,-1.4704371690750122,-4.066156387329102,-4.520092487335205,-4.94901704788208,-4.37851619720459
8,-2.41444993019104,-1.8417932987213133,-3.144378423690796,-3.2442312240600586,-3.78061580657959,-4.483606338500977
9,-1.1045717000961304,-0.9779397249221802,-1.1139183044433594,-1.3665553331375122,-2.4953103065490723,-2.973191261291504
10,-0.9303732514381408,-3.841590881347656,-3.112520933151245,-4.108666896820068,-5.00732946395874,-3.814591646194458
11,-1.2848435640335083,-2.0152199268341064,-1.2145012617111206,-3.891784191131592,-4.062472343444824,-4.127420902252197
13,-1.1547139883041382,-2.413680076599121,-2.769181966781616,-4.5340070724487305,-4.994945526123047,-5.24712610244751
12,-0.7255966663360596,-1.666066288948059,-3.0119128227233887,-3.554593563079834,-4.642058849334717,-4.351780414581299
14,-1.653059005737305,-0.8305979371070862,-3.4147398471832275,-4.561424255371094,-4.810196876525879,-4.763030052185059
23,-1.157183051109314,-0.4850152730941772,-2.269577741622925,-3.572139263153076,-4.195497035980225,-5.730210304260254
16,-2.017665147781372,-2.729851484298706,-4.067092418670654,-4.294764995574951,-4.315390110015869,-4.851902008056641
17,-1.1206244230270386,-0.8369573354721069,-0.7223002314567566,-1.937304973602295,-4.657507419586182,-4.14931583404541
18,-1.0763914585113523,-2.649746894836426,-5.014893054962158,-5.36791467666626,-5.702053070068359,-4.848237991333008
19,-1.1885955333709717,-1.4347487688064575,-1.026252269744873,-4.030749797821045,-2.856597900390625,-2.7005040645599365
4,-0.6235340237617493,-0.6250539422035217,-1.454236388206482,-3.868100166320801,-4.376666069030762,-3.681605339050293
22,-1.1415619850158691,-1.132005214691162,-4.023758888244629,-4.397677898406982,-4.76536750793457,-4.07199239730835
21,-1.42075514793396,-0.4716611206531524,-0.5353574752807617,-1.8546326160430908,-4.245189666748047,-4.20754337310791
15,-0.9076465964317322,-0.8518273234367371,-1.5454953908920288,-4.622114181518555,-4.07944917678833,-4.503851413726807
20,-2.418118715286255,-3.89659571647644,-1.7386834621429443,-4.912347316741943,-0.658056914806366,-2.276402711868286
