,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_497,agent1_497,agent2_497,agent3_497,agent4_497,agent5_497
0,-0.9143649935722352,-0.9709320068359376,-0.5201916098594666,-0.52103191614151,-3.779926300048828,-4.161468982696533,-0.2980276048183441,-0.1322699189186096,-0.466357946395874,-1.0405378341674805,-17.35794448852539,-20.86672782897949
2,-0.835260272026062,-1.5675816535949707,-0.7127771973609924,-0.4805828928947449,-0.5978963971138,-2.8496055603027344,-0.087358184158802,-0.0718090683221817,-0.0186900328844785,-0.0161803588271141,-0.2511273324489593,-17.12091064453125
4,-0.4499393105506897,-3.0225648880004883,-3.766370296478272,-3.831601142883301,-4.03498649597168,-3.806661367416382,-0.115011528134346,-11.417370796203612,-26.845027923583984,-27.71523666381836,-28.20676040649414,-25.70698547363281
6,-0.4947258830070495,-0.7570237517356873,-0.4260934591293335,-3.6618402004241934,-3.376891613006592,-3.800849437713623,-0.0167763121426105,-0.1870873272418975,-0.2918630540370941,-5.585212707519531,-39.033912658691406,-38.492767333984375
5,-1.155589580535889,-1.3597466945648191,-2.497765064239502,-1.8350791931152344,-1.8488478660583496,-4.185115337371826,-0.1615970730781555,-0.7341501116752625,-0.1617391258478164,-0.2888529300689697,-0.3661270439624786,-20.7551498413086
1,-0.8865199685096741,-3.233558654785156,-3.058649063110352,-4.296655654907227,-3.3781094551086426,-3.6583871841430655,-0.2758480906486511,-14.3250732421875,-31.117977142333984,-32.183326721191406,-31.563793182373047,-37.6085205078125
3,-0.4369429349899292,-0.9339780807495116,-1.8126713037490845,-1.929661631584168,-3.317528009414673,-3.639381647109986,-0.0164122581481933,-0.3056651949882507,-0.1439045816659927,-12.842432022094728,-12.124290466308594,-14.834500312805176
7,-1.3840553760528564,-1.9474948644638064,-4.621312618255615,-4.715456962585449,-5.479456424713135,-4.827473163604736,-0.9791329503059388,-1.8284968137741089,-15.384681701660156,-16.044166564941406,-15.232747077941896,-13.258885383605955
8,-1.031277418136597,-3.397029161453247,-3.58135724067688,-3.573122978210449,-3.4809162616729736,-3.828810214996338,-1.7722153663635254,-15.233073234558104,-2.7680814266204834,-3.5079236030578613,-3.272573947906494,-12.280938148498535
10,-1.0755399465560913,-1.1077611446380615,-0.8130462169647217,-3.1759610176086426,-3.3397440910339355,-4.899120807647705,-0.4348268806934356,-0.3903939723968506,-0.4033455848693847,-17.42743682861328,-14.814390182495115,-34.31080627441406
12,-0.6613885760307312,-1.24755597114563,-2.444918155670166,-4.5401291847229,-4.621482372283936,-4.0053253173828125,,,,,,
14,-1.4572527408599854,-2.089602470397949,-3.8320162296295166,-4.977888584136963,-5.391263484954834,-4.918757915496826,,,,,,
13,-1.2440675497055054,-3.2498199939727783,-3.8906571865081774,-3.4868173599243164,-3.62993836402893,-3.22971773147583,-0.2642779946327209,-0.3265751898288727,-8.694395065307617,-4.3436055183410645,-14.200692176818848,-16.94685173034668
11,-1.3020645380020142,-0.5509315729141235,-1.208943247795105,-3.249898195266724,-4.827621936798096,-5.860108375549316,-1.5813465118408203,-0.0419308990240097,-0.070573903620243,-4.312109470367432,-11.303227424621582,-40.161651611328125
18,-1.5659838914871216,-0.676965594291687,-3.982661485671997,-3.7175581455230713,-5.565672874450684,-3.818016767501831,-0.6026480793952942,-0.8781735897064209,-12.640081405639648,-10.082446098327637,-33.615413665771484,-32.58180618286133
9,-1.101115584373474,-2.09253454208374,-3.1484687328338623,-3.896149873733521,-3.808385372161865,-3.7426271438598633,-0.0325648076832294,-0.7031239867210388,-13.69852066040039,-10.411057472229004,-7.140785217285156,-10.335262298583984
15,-0.4031862020492553,-0.8585157990455627,-3.341641426086426,-4.677525043487549,-4.859304904937744,-4.077342033386231,,,,,,
16,-0.5775063633918762,-0.1950805038213729,-0.6040624380111694,-0.7760264277458191,-2.3141393661499023,-3.0644259452819824,-0.1378203481435775,-0.0181005578488111,-0.5352096557617188,-0.0481711812317371,-0.3207410275936126,-35.29811477661133
19,-1.251115083694458,-1.4870928525924685,-2.701544523239136,-3.883330821990967,-4.82646369934082,-5.025513648986816,-0.1860239207744598,-0.0749093443155288,-0.3874410688877105,-6.1541948318481445,-14.755331039428713,-21.373226165771484
17,-0.7533548474311829,-1.6049025058746338,-2.0547749996185303,-2.660961866378784,-3.246555089950561,-5.825835704803467,-0.2034240067005157,-2.2749764919281006,-2.011046886444092,-5.131269931793213,-16.947683334350586,-39.711063385009766
