,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_233,agent1_233,agent2_233,agent3_233,agent4_233,agent5_233
0,-1.1807191371917725,-7.283527851104736,-7.548927307128906,-7.548927307128906,-7.548927307128906,-8.074140548706055,-1.5727910995483398,-6.853005409240723,-6.455799579620361,-6.455799579620361,-6.455799579620361,-10.419475555419922
2,-1.1893573999404907,-2.1901025772094727,-2.032073497772217,-2.5669140815734863,-1.4437243938446045,-2.4730312824249268,-0.2101190686225891,-0.0015393561916425,-0.3773438930511474,-1.9826574325561523,-0.5040428042411804,-0.3331859707832336
4,-1.190492868423462,-2.066182374954224,-2.644817352294922,-2.943883180618286,-3.88376522064209,-6.127800464630127,-0.5531028509140015,-0.2861229181289673,-0.4374864101409912,-0.1513690203428268,-0.3998329639434814,-6.053112506866455
6,-1.0184251070022583,-2.0876665115356445,-5.132402420043945,-7.243669033050537,-7.643057823181152,-7.580443382263184,-2.4247536659240723,-0.3868062496185303,-7.823798656463623,-13.090653419494627,-11.425814628601074,-7.528768062591553
5,-1.06710946559906,-5.291549205780029,-2.125983715057373,-2.955723762512207,-5.180723190307617,-6.036749362945557,-0.9016153812408448,-7.553039073944092,-0.636848509311676,-1.478123426437378,-4.044358253479004,-8.544872283935547
1,-0.9470040798187256,-2.2281339168548584,-5.6637701988220215,-7.19728422164917,-7.550591945648193,-8.706801414489746,-0.4283890128135681,-0.1020533442497253,-1.0234121084213257,-5.877435684204102,-23.56210708618164,-25.269302368164062
3,-0.9321726560592652,-2.104501962661743,-2.9049324989318848,-4.623527050018311,-5.550023078918457,-6.945031642913818,-1.475308179855347,-1.3973689079284668,-0.1062788069248199,-0.0903631746768951,-0.637548565864563,-9.145445823669434
7,-1.049484372138977,-3.6052017211914062,-5.181533336639404,-4.728603363037109,-6.601554870605469,-7.295090675354004,-0.7849459052085876,-1.2326610088348389,-0.0841512382030487,-0.2530413866043091,-5.62123966217041,-9.94936180114746
8,-0.7778408527374268,-2.385122537612915,-2.0107550621032715,-6.950560569763184,-7.541645526885986,-7.918262004852295,-0.8319216966629028,-3.519474983215332,-0.3569945096969604,-10.733198165893556,-22.942529678344727,-26.069168090820312
10,-0.9264678955078124,-2.9604415893554688,-1.9807519912719729,-3.059687614440918,-6.925970077514648,-7.958908557891846,-0.8146048784255981,-0.1806301772594452,-0.3516902923583984,-0.1814539581537246,-2.792578935623169,-3.17162823677063
12,-0.9541113376617432,-1.957489252090454,-2.151879072189331,-3.20849347114563,-6.549193382263184,-7.160190582275391,-1.807769775390625,-0.1432949304580688,-0.1626902669668197,-0.4426563680171966,-9.721317291259766,-10.430414199829102
14,-0.8305067420005798,-2.532122135162353,-3.1907787322998047,-6.830942153930664,-6.329179286956787,-7.234070301055908,,,,,,
13,-0.825079083442688,-3.51088285446167,-4.9276275634765625,-6.976402282714844,-7.921812534332275,-7.618309497833252,-0.5398222208023071,-1.1492489576339722,-2.5672528743743896,-9.274151802062988,-12.17617130279541,-13.04678440093994
11,-1.305370569229126,-2.694730281829834,-5.607274055480957,-5.2650675773620605,-6.28001594543457,-7.226282119750977,-1.5361526012420654,-0.1897673904895782,-2.2798964977264404,-17.45991325378418,-17.04360580444336,-19.886459350585938
18,-2.419523000717163,-2.208716869354248,-2.8037850856781006,-6.841399192810059,-7.769261837005615,-8.15740966796875,-0.7639539241790771,-0.0946565121412277,-0.4156274795532226,-3.0821099281311035,-8.20849609375,-13.68478775024414
15,-1.618518948554993,-1.7642983198165894,-6.736170291900635,-7.591402053833008,-7.415287017822266,-7.808403015136719,,,,,,
9,-1.1316014528274536,-3.780016660690308,-2.9620678424835205,-3.6403591632843018,-7.188323974609375,-7.826774597167969,-0.7078028321266174,-2.134063720703125,-0.4533755779266357,-0.5507615208625793,-10.263020515441896,-10.94946002960205
16,-1.2754809856414795,-2.708545446395874,-3.768123149871826,-7.077854156494141,-6.865888595581055,-6.89138650894165,-1.241471529006958,-0.3113570511341095,-0.0394112206995487,-0.5478849411010742,-24.11128616333008,-28.59799194335937
19,-1.0706558227539062,-2.225382089614868,-2.482737302780152,-5.993277549743652,-6.7247700691223145,-7.072039604187012,-1.0103806257247925,-1.0961103439331057,-0.3497935533523559,-8.791200637817383,-12.370616912841797,-27.938703536987305
17,-0.9152449369430542,-1.1340001821517944,-2.1471667289733887,-2.483898162841797,-2.52112340927124,-2.2020206451416016,-0.6124864816665649,-0.039784025400877,-2.197734832763672,-0.4823672473430633,-0.3988308012485504,-7.518551826477051
