,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-2.2385149002075195,-2.269580125808716,-3.719917535781861,-2.572238683700561,-6.3280863761901855,-6.640652179718018
1,-2.332571268081665,-6.829856395721436,-7.556241035461426,-7.524754047393799,-7.361964702606201,-7.400829792022705
2,-2.0728793144226074,-6.226181507110596,-6.565573215484619,-7.599703788757324,-8.0418701171875,-7.991283416748047
3,-1.334361553192139,-4.261919021606445,-4.774177551269531,-6.85523796081543,-3.319186210632324,-4.325547695159912
5,-1.2947142124176023,-3.3202614784240723,-2.500373125076294,-4.709105968475342,-6.652462482452393,-6.758671760559082
7,-1.2862565517425537,-3.424809455871582,-4.600720405578613,-4.5822834968566895,-7.112910747528076,-5.124213218688965
6,-1.5594964027404783,-2.599679946899414,-5.777293682098389,-6.237340927124023,-7.664112091064453,-6.894625186920166
8,-1.8913254737854004,-2.600421667098999,-6.42857551574707,-6.066584587097168,-7.271486282348633,-8.400714874267578
9,-1.6523910760879517,-1.54544997215271,-3.4134559631347656,-7.334526062011719,-6.491386413574219,-7.500367164611816
10,-0.8994005918502808,-7.370136260986328,-6.134528636932373,-5.519335746765137,-6.2312774658203125,-5.109386444091797
11,-1.5963988304138184,-2.6694142818450928,-3.1676065921783447,-4.859274864196777,-6.196188926696777,-5.726164817810059
13,-1.8497205972671509,-3.5956473350524902,-5.688060283660889,-7.547708988189697,-7.48082160949707,-7.670776844024658
12,-3.1803886890411377,-2.766552925109864,-3.176661729812622,-5.977099418640137,-7.088733673095703,-6.861341953277588
14,-1.984990119934082,-2.9661264419555664,-3.6335155963897705,-5.937507629394531,-6.716375350952148,-6.317205905914307
23,-4.207874774932861,-5.915070056915283,-6.03806209564209,-6.509829044342041,-7.239087104797363,-5.8877692222595215
16,-1.3547254800796509,-2.853097915649414,-2.1119518280029297,-3.742176532745361,-4.422175884246826,-4.38995361328125
17,-1.562236189842224,-2.372891902923584,-3.4668073654174805,-5.233444213867188,-5.762813568115234,-6.821546077728272
18,-2.346153736114502,-2.2043569087982178,-1.3916990756988523,-7.689523220062256,-7.655504703521728,-7.636023044586182
19,-2.533264636993408,-3.903621435165405,-6.530492782592773,-6.647805213928223,-7.207807540893555,-7.583442211151123
4,-1.1799861192703247,-2.92360782623291,-5.394989013671875,-5.605587005615234,-6.6033124923706055,-7.084101676940918
22,-1.6913995742797852,-3.824345827102661,-6.994998931884766,-7.1765336990356445,-7.23829984664917,-7.471680641174316
21,-1.3586302995681765,-2.7614176273345947,-7.192563533782959,-7.501087188720703,-7.670085430145264,-7.623250961303711
15,-1.4836907386779783,-3.9465060234069824,-7.0067057609558105,-7.292531967163086,-7.375751495361328,-6.8938751220703125
20,-2.793159246444702,-2.13763427734375,-2.9501094818115234,-4.341626167297363,-1.469691514968872,-3.580864429473877
