,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_266,agent1_266,agent2_266,agent3_266,agent4_266,agent5_266
0,-3.099372386932373,-4.329351425170898,-6.933561325073242,-5.243010520935059,-6.508234024047852,-6.986386299133301,-0.3068022727966308,-0.3556629419326782,-3.6250410079956055,-1.5315120220184326,-5.5705766677856445,-10.759857177734377
2,-3.117718458175659,-5.723021984100342,-3.657293081283569,-5.950338363647461,-7.6254563331604,-7.331512928009033,-0.200943648815155,-1.2659040689468384,-2.213275194168091,-6.107800483703613,-10.03262996673584,-9.062803268432615
4,-3.092162847518921,-4.533081531524658,-4.377388954162598,-4.733865737915039,-4.488950729370117,-5.997661590576172,-0.0447395965456962,-1.4051352739334106,-1.4830000400543213,-7.142511367797852,-9.485851287841797,-15.71036148071289
6,-3.060466051101685,-5.47097635269165,-8.427030563354492,-7.81528902053833,-7.722947120666504,-6.704644680023193,-2.265014886856079,-0.9163520336151124,-17.171432495117188,-8.903009414672852,-9.658218383789062,-25.93676948547364
5,-2.851421356201172,-4.100295066833496,-4.979564666748047,-5.6777777671813965,-8.390083312988281,-8.157099723815918,-0.4406514465808868,-0.9442116618156432,-5.099733352661133,-10.973260879516602,-33.676944732666016,-35.28175735473633
1,-2.7662899494171143,-2.842498302459717,-3.626953125,-6.822593688964844,-7.016359329223633,-7.110426902770996,-0.328935831785202,-0.1437246203422546,-2.266883611679077,-3.5410635471343994,-30.14903450012207,-34.09626770019531
3,-2.646815538406372,-3.457702875137329,-4.605154514312744,-3.630819082260132,-3.239677667617798,-5.662106990814209,-0.0142009416595101,-2.778445243835449,-0.1871383637189865,-1.13762104511261,-0.1326176822185516,-0.1021162495017051
7,-2.8620481491088867,-3.2867770195007324,-4.4582839012146,-6.437155723571777,-9.100109100341797,-8.796781539916992,-0.6942859292030334,-1.7676302194595337,-0.721061110496521,-9.371801376342772,-30.273357391357425,-40.52098846435547
8,-2.6830921173095703,-4.100643157958984,-3.902155637741089,-3.686250686645508,-7.604970455169678,-7.5357666015625,-1.2808170318603516,-0.0206005480140447,-0.3465412557125091,-1.7118698358535769,-24.369327545166016,-31.58757781982422
10,-3.634493350982666,-3.565036058425904,-5.282724380493164,-5.8847336769104,-7.048704624176025,-7.027595043182373,-0.651779294013977,-0.3827635943889618,-7.210472583770752,-30.269756317138672,-34.12978744506836,-33.237300872802734
12,-2.698488235473633,-3.5180811882019043,-3.356182098388672,-2.9951562881469727,-3.792323112487793,-3.3795080184936523,,,,,,
14,-2.6374294757843018,-3.566429853439331,-4.8028106689453125,-9.362223625183104,-8.003466606140137,-8.009222984313965,,,,,,
13,-3.3185763359069824,-4.736838817596436,-4.317926406860352,-7.582913398742676,-8.50020694732666,-8.232633590698242,-0.1145945936441421,-0.3832303285598755,-0.0447926111519336,-9.949138641357422,-20.17724609375,-30.04084587097168
11,-3.1388401985168457,-3.621567726135254,-6.492110252380371,-7.604712963104248,-7.604712963104248,-8.047835350036621,-0.9983808994293212,-3.821900844573975,-9.817301750183104,-11.410738945007324,-11.410738945007324,-15.969497680664062
18,-2.7977755069732666,-2.980618953704834,-4.5216827392578125,-6.447138786315918,-7.777789115905762,-7.478551387786865,,,,,,
15,-3.460024118423462,-4.47312068939209,-4.919166088104248,-5.974883556365967,-6.038075923919678,-6.088727474212647,,,,,,
9,-2.9168941974639893,-3.129067897796631,-3.993873834609986,-5.564699649810791,-4.5572052001953125,-5.48675537109375,-0.9165953993797302,-0.5335582494735718,-1.9463996887207031,-7.9248199462890625,-8.587757110595703,-17.5052547454834
16,-2.6236746311187744,-3.409586906433105,-3.24672794342041,-6.8528733253479,-7.028410911560059,-6.814587116241455,-0.3967059850692749,-1.7730448246002195,-0.9476972818374634,-4.164357662200928,-7.959374904632568,-10.905476570129396
19,-2.5488317012786865,-4.633554935455322,-4.096174240112305,-3.7061569690704346,-4.89301872253418,-6.425029754638672,-0.4072015285491943,-0.3519996404647827,-1.6149775981903076,-0.3651338517665863,-3.662792444229126,-3.989658117294312
17,-3.3248960971832275,-4.548156261444092,-6.269803524017334,-5.253246784210205,-6.984037399291992,-6.755390167236328,-0.4251677393913269,-0.6251394152641296,-5.399998664855957,-8.587907791137695,-12.751827239990234,-11.798505783081056
