,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-2.539280652999878,-5.293241500854492,-6.861396312713623,-8.627533912658691,-8.065176963806152,-7.765021800994873
1,-2.835331916809082,-4.8873209953308105,-4.709684371948242,-6.528859615325928,-6.544535160064697,-5.964144706726074
2,-2.5207293033599854,-8.230917930603027,-5.9915642738342285,-8.900120735168457,-9.387272834777832,-7.920426368713379
3,-2.276625156402588,-5.091792583465576,-6.876375675201416,-7.661026477813721,-7.9713969230651855,-7.39097785949707
5,-7.485532283782959,-6.251850605010986,-7.749615669250488,-8.458943367004395,-10.058185577392578,-5.70582389831543
7,-2.154180765151977,-5.648132801055908,-7.236814022064209,-7.657599449157715,-7.238243103027344,-6.429443836212158
6,-2.278656005859375,-7.996798992156982,-8.243219375610352,-7.621642589569092,-7.957912921905518,-7.836665630340576
8,-2.861964464187622,-5.958282947540283,-7.954920768737793,-7.525355815887451,-8.331254005432129,-8.486345291137695
9,-3.1544744968414307,-5.6690754890441895,-8.036110877990723,-8.245275497436523,-7.950052738189697,-8.007351875305176
10,-2.078610420227051,-5.153384208679199,-8.454872131347656,-8.504268646240234,-8.874041557312012,-7.838640689849853
11,-3.107739925384521,-3.860898017883301,-5.004123210906982,-8.035040855407715,-9.87631130218506,-7.37652063369751
13,-3.024446964263916,-9.10559368133545,-9.090954780578612,-9.103325843811035,-8.870784759521484,-8.946813583374023
12,-3.2271878719329834,-7.7589898109436035,-6.848880767822266,-7.979229927062988,-7.965624332427978,-8.047327041625977
14,-1.9864616394042969,-4.5699896812438965,-3.653994560241699,-7.318288803100586,-9.6295804977417,-9.796430587768556
23,-2.5617520809173584,-5.406208515167236,-8.306086540222168,-8.418449401855469,-8.497368812561035,-8.191550254821777
16,-2.821603298187256,-5.2773847579956055,-7.120158672332764,-9.088659286499023,-8.431533813476562,-8.477558135986328
17,-2.503800868988037,-7.854137420654297,-5.845913410186768,-7.845296382904053,-7.412165641784668,-6.873994827270508
18,-3.31182861328125,-3.6724114418029785,-5.539819717407227,-5.526947498321533,-5.467845916748047,-4.241862773895264
19,-1.8939343690872192,-4.801413536071777,-5.942193984985352,-7.414551258087158,-8.140270233154297,-7.680596351623535
4,-1.8715347051620483,-3.7513930797576895,-3.36586856842041,-7.844755172729492,-8.172257423400879,-8.233439445495605
22,-2.6298954486846924,-3.9936041831970215,-2.9369471073150635,-5.168829917907715,-6.617877006530762,-6.919463634490967
21,-2.940271377563477,-5.213185787200928,-5.663975238800049,-8.823649406433105,-7.704288959503174,-6.938935279846191
15,-1.5992913246154783,-5.421089172363281,-7.191481113433838,-7.818353176116943,-7.743460178375244,-7.829868316650391
20,-1.3155291080474854,-3.825332164764404,-8.06588363647461,-7.951036930084228,-7.625283241271973,-7.1508097648620605
