,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.1692676544189453,-6.656764507293701,-6.710596561431885,-7.712200164794922,-7.403287887573242,-7.123705863952637
1,-2.603580474853516,-6.418357849121094,-7.161609649658203,-7.737923622131348,-7.252059459686279,-6.405184745788574
2,-1.9953315258026123,-8.129581451416016,-8.184131622314453,-8.12208366394043,-8.499290466308594,-8.319783210754395
3,-1.932187914848328,-7.954083919525146,-7.217808246612549,-7.074409008026123,-7.748862743377685,-7.8515944480896
5,-3.688875198364258,-7.264211654663086,-7.215757846832275,-7.039200782775879,-6.890283107757568,-8.004002571105957
7,-2.8232107162475586,-7.842556953430176,-7.989964485168457,-7.266790390014648,-8.021260261535645,-7.988216876983643
6,-2.841668128967285,-7.290957927703857,-6.54975175857544,-8.113839149475098,-8.943166732788086,-8.625970840454102
8,-2.923576593399048,-8.39339542388916,-6.525718688964844,-8.41988468170166,-8.639266014099121,-9.168505668640137
9,-3.9806642532348633,-7.049190044403076,-7.517238140106201,-6.886628150939941,-6.843201160430908,-7.061312198638916
10,-2.1479711532592773,-6.746039867401123,-6.294366836547852,-7.409795761108398,-8.19402027130127,-8.299724578857422
11,-3.626830816268921,-7.704723358154297,-8.07275676727295,-7.307409763336182,-7.485648155212402,-8.35377025604248
13,-2.956510066986084,-8.155712127685547,-8.471039772033691,-8.276105880737305,-8.366103172302246,-8.113750457763672
12,-2.9931859970092773,-8.011968612670898,-7.095219612121582,-7.797049999237059,-8.5594482421875,-8.91645336151123
14,-2.7189083099365234,-6.281728744506836,-8.379929542541504,-8.185721397399902,-8.07945442199707,-6.289260387420654
23,-2.978755235671997,-6.382450103759766,-7.816707611083984,-7.943880558013916,-8.283129692077637,-7.6994547843933105
16,-2.684823036193848,-6.633243083953857,-7.474298000335693,-8.276833534240723,-6.922670841217041,-5.983049392700195
17,-2.3815929889678955,-5.029162883758545,-7.881033420562744,-8.114347457885742,-8.233858108520508,-7.860177993774414
18,-2.883448600769043,-6.138227939605713,-6.83751392364502,-7.500055313110352,-7.668465614318848,-8.229835510253906
19,-2.6157033443450928,-7.438084125518799,-8.665718078613281,-9.399356842041016,-9.055133819580078,-9.322542190551758
4,-3.296304225921631,-7.286753177642822,-6.969168663024902,-8.289557456970215,-7.971940040588379,-8.375274658203125
22,-1.7207070589065552,-6.566064834594727,-8.589741706848145,-7.604881286621094,-7.620667934417725,-6.989822864532471
21,-2.961169958114624,-7.788532257080078,-7.376736640930176,-7.3407816886901855,-6.548263549804688,-7.006664276123047
15,-2.264873504638672,-7.039699554443359,-7.658510208129883,-7.310386180877685,-8.618685722351074,-8.191930770874023
20,-2.267928123474121,-6.689053535461426,-6.379439830780029,-6.984512805938721,-8.016168594360352,-8.19049072265625
