,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_613,agent1_613,agent2_613,agent3_613,agent4_613,agent5_613
0,-2.313826560974121,-6.392512798309326,-6.58742094039917,-6.529310703277588,-6.838803768157959,-7.123705863952637,-1.1369624137878418,-0.0139489695429801,-0.1565286666154861,-4.6932692527771,-11.662481307983398,-11.405318260192873
2,-2.1376028060913086,-7.479199886322021,-8.187405586242676,-8.068548202514648,-8.068548202514648,-8.319783210754395,-1.4510905742645264,-0.2371119707822799,-11.790913581848145,-11.428837776184082,-11.428837776184082,-13.61792278289795
4,-3.031162738800049,-7.494361400604248,-6.107035636901856,-7.935079574584961,-7.802853107452393,-8.375274658203125,-1.5339702367782593,-0.1079331189393997,-0.1343526244163513,-8.3233003616333,-7.6034111976623535,-10.992953300476074
6,-2.2289485931396484,-7.606491565704346,-6.773384094238281,-8.363839149475098,-8.821696281433105,-8.625970840454102,-2.322986602783203,-0.2882578074932098,-0.134163424372673,-2.083594560623169,-10.32573127746582,-15.225709915161133
5,-2.464850425720215,-6.971605777740479,-6.702860832214356,-6.14363956451416,-6.3091535568237305,-8.004002571105957,-0.61870938539505,-0.238191545009613,-0.2507592439651489,-0.3334673643112182,-0.0451586917042732,-0.139323741197586
1,-2.161784172058105,-6.861154556274414,-7.207379341125488,-6.968554496765137,-6.704915046691895,-6.405184745788574,-0.6095860004425049,-0.0453044027090072,-1.3464082479476929,-3.729825496673584,-27.27223014831543,-24.127817153930664
3,-1.6925736665725708,-7.647563934326172,-7.188425064086914,-7.370108127593994,-7.384432792663574,-7.8515944480896,-0.06840430945158,-0.1318343728780746,-0.2087345868349075,-2.6838552951812744,-5.899938583374023,-12.32652473449707
7,-1.9618401527404783,-6.6317548751831055,-8.321880340576172,-7.19391679763794,-7.526036739349365,-7.988216876983643,-1.05316960811615,-0.0511938408017158,-0.0643622726202011,-0.1020547747611999,-4.277834415435791,-15.547141075134276
8,-2.948063373565674,-7.508589744567871,-5.928415775299072,-8.236371040344238,-8.498169898986816,-9.168505668640137,-1.4551987648010254,-0.0058089466765522,-0.0035829700063914,-0.0997466519474983,-10.914227485656738,-16.86067008972168
10,-1.4220435619354248,-6.709255695343018,-5.649211883544922,-6.24766731262207,-7.216531753540039,-8.299724578857422,-0.7501381039619446,-0.167310819029808,-0.0291101727634668,-0.580576479434967,-10.920214653015137,-11.684398651123047
12,-2.221666097640991,-6.976315975189209,-5.745447635650635,-7.004244804382324,-7.537274837493896,-8.91645336151123,-2.4806087017059326,-0.1907554417848587,-0.5615873336791992,-5.18527889251709,-30.663124084472656,-28.807785034179688
14,-1.812591314315796,-5.787478446960449,-8.573206901550293,-8.369962692260742,-7.097513675689697,-6.289260387420654,-2.692314624786377,-0.1453566551208496,-0.0392783097922802,-1.2158490419387815,-6.983139514923096,-5.16560173034668
13,-1.7596056461334229,-8.337870597839355,-8.624069213867188,-8.758249282836914,-8.758249282836914,-8.113750457763672,-0.4912840127944946,-0.4269153475761413,-8.640809059143066,-9.34928035736084,-9.34928035736084,-10.384455680847168
11,-3.191615581512451,-7.252413272857666,-7.825501918792725,-7.042265892028809,-7.671593189239502,-8.35377025604248,-2.055627822875977,-0.0636352896690368,-0.208581194281578,-0.0158334095031023,-0.3873984515666961,-16.9095458984375
18,-2.469133853912353,-6.029921054840088,-5.973020553588867,-7.569950580596924,-7.905305862426758,-8.229835510253906,-0.7325628995895386,-0.137204959988594,-0.3280414938926697,-12.886377334594728,-12.821969032287598,-29.851167678833008
15,-1.6317157745361328,-6.883476257324219,-6.532451629638672,-6.778745174407959,-8.165946960449219,-8.191930770874023,,,,,,
9,-2.836038112640381,-6.431349754333496,-6.461600303649902,-5.544130325317383,-6.583121299743652,-7.061312198638916,-0.9676421880722046,-3.249735116958618,-16.123411178588867,-27.066879272460938,-28.53731155395508,-26.1323356628418
16,-2.4805235862731934,-6.573966026306152,-7.491652488708496,-7.882298946380615,-7.179169654846191,-5.983049392700195,-0.4617151021957397,-0.1553459018468856,-0.0837303921580314,-0.2931727766990661,-7.626245021820068,-8.595671653747559
19,-1.872813820838928,-6.856200695037842,-7.837657451629639,-9.124356269836426,-8.731425285339355,-9.322542190551758,-1.6702723503112793,-0.0034296342637389,-0.5728813409805298,-0.4795340001583099,-14.30001735687256,-28.52157974243164
17,-2.608376264572144,-5.22234582901001,-7.780095100402832,-7.963254928588867,-7.953964233398437,-7.860177993774414,-0.4121456444263458,-0.0342267043888568,-8.821134567260742,-9.79166316986084,-9.964350700378418,-12.79699993133545
