,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-6.831911087036133,-6.399873733520508,-8.063236236572266,-7.122074127197266,-7.042741775512695,-7.489277362823486
1,-6.919938564300537,-5.148385524749756,-5.606577396392822,-7.365445137023926,-7.57008695602417,-6.826115131378174
2,-6.207220554351807,-6.857054233551025,-7.155313968658447,-8.187095642089844,-7.919240951538086,-8.21448040008545
3,-7.289741039276123,-6.2558698654174805,-5.715882778167725,-7.980966567993164,-8.231429100036621,-8.638120651245117
5,-6.191425323486328,-5.958003997802734,-5.730775356292725,-6.1263957023620605,-6.5808634757995605,-6.648946285247803
7,-6.122392654418945,-5.425451278686523,-6.129487037658691,-6.436590194702148,-5.974573612213135,-5.89667272567749
6,-5.887802600860596,-5.788942813873291,-5.372288703918457,-7.154763221740723,-6.7838521003723145,-7.968101501464844
8,-6.101297855377197,-4.808778762817383,-5.661275863647461,-6.616386890411377,-6.684146881103516,-6.195766448974609
9,-5.93968391418457,-4.340872764587402,-4.22670316696167,-5.084234237670898,-6.574772834777832,-5.489601135253906
10,-6.000485420227051,-4.655447006225586,-4.309650897979736,-6.329646587371826,-6.683869361877441,-6.0829596519470215
11,-6.5733160972595215,-4.775184631347656,-6.829537391662598,-7.244526386260986,-7.719996929168701,-7.250265121459961
13,-6.0916290283203125,-5.828919887542725,-4.803110599517822,-4.785304069519043,-4.644078254699707,-5.663385391235352
12,-6.443752288818359,-7.528472423553467,-7.954660415649414,-8.356158256530762,-7.662429332733154,-7.605570793151855
14,-6.732880115509033,-6.134604454040527,-5.228081226348877,-5.938868522644043,-7.538920879364014,-7.001962184906006
23,-6.955081939697266,-6.162879943847656,-6.288980007171631,-6.085371017456055,-7.284783363342285,-5.749241352081299
16,-5.886398792266846,-5.970907211303711,-5.5571818351745605,-5.667942523956299,-6.075437545776367,-6.18416690826416
17,-6.546453952789307,-6.015371322631836,-7.252711772918701,-8.334741592407227,-7.963934421539307,-7.520628452301025
18,-4.983054637908936,-4.890720367431641,-4.97876501083374,-5.3638834953308105,-4.612105846405029,-4.530984401702881
19,-7.33829402923584,-6.927026748657227,-8.004121780395508,-8.742125511169434,-8.683231353759766,-8.909448623657227
4,-5.882668972015381,-5.104382514953613,-5.201260566711426,-5.587252616882324,-5.929379463195801,-5.35054349899292
22,-5.968514442443848,-5.882416248321533,-9.560389518737791,-8.908401489257812,-7.476377964019775,-6.758432865142822
21,-5.820262432098389,-5.34764289855957,-4.681931495666504,-3.987857818603516,-5.309348106384277,-6.897770881652832
15,-6.30552864074707,-4.76301908493042,-5.9240922927856445,-5.583669662475586,-6.26040506362915,-7.261553764343262
20,-6.823469161987305,-5.561028003692627,-5.799840450286865,-5.755616664886475,-6.741192817687988,-6.242689609527588
