,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_978,agent1_978,agent2_978,agent3_978,agent4_978,agent5_978
0,-7.500883102416992,-5.797355651855469,-6.101156234741211,-6.0014967918396,-6.396068096160889,-6.360789299011231,-0.736580491065979,-0.0610626451671123,-3.026534080505371,-9.063831329345703,-19.28089141845703,-22.3665714263916
8,-7.536734580993652,-7.25477409362793,-7.860957622528076,-8.230050086975098,-9.606260299682615,-7.8194098472595215,-1.990957856178284,-0.1766981184482574,-1.508344292640686,-2.2904469966888428,-7.895803451538086,-8.321906089782715
16,-7.453421115875244,-7.591983795166016,-6.12624454498291,-8.120504379272461,-7.110837459564209,-7.495373725891113,,,,,,
2,-8.191706657409668,-6.037635326385498,-5.337376594543457,-6.196634292602539,-6.1970696449279785,-6.164403438568115,-0.3789999485015869,-0.4912476539611816,-9.122631072998049,-10.38147258758545,-17.807085037231445,-15.336698532104492
1,-7.129716873168945,-7.2739057540893555,-8.627677917480469,-6.9902119636535645,-7.720425128936768,-7.1915459632873535,-0.7383754253387451,-0.0694904401898384,-3.5152950286865234,-7.897599697113037,-9.091848373413086,-12.438790321350098
9,-8.1469144821167,-6.367105007171631,-5.454736709594727,-5.815720558166504,-5.87535285949707,-5.984088897705078,-0.7162445783615112,-1.210317611694336,-9.597793579101562,-11.36193561553955,-11.84316062927246,-12.855286598205566
17,-7.7602386474609375,-5.979252815246582,-5.919693946838379,-5.895943641662598,-6.555686950683594,-6.66550874710083,,,,,,
3,-8.045561790466309,-5.814250946044922,-5.904952049255371,-7.9359450340271,-5.799187183380127,-6.469545364379883,-0.0066480888053774,-0.0229205582290887,-20.0692138671875,-16.531347274780273,-23.160873413085938,-21.698806762695312
10,-7.67087459564209,-6.145055770874023,-7.100332736968994,-7.283924102783203,-7.97900390625,-7.818556785583496,-1.1522703170776367,-0.059249211102724,-6.103755950927734,-23.097064971923828,-28.44958877563477,-20.610485076904297
11,-9.000743865966797,-6.1431803703308105,-5.596347808837891,-6.458428382873535,-7.309075832366943,-6.509420394897461,-1.035775899887085,-0.1262601763010025,-11.23385238647461,-10.844660758972168,-8.958473205566406,-9.1030855178833
18,-7.6269917488098145,-5.540608882904053,-4.761284828186035,-6.474953651428223,-6.027563095092773,-6.10720157623291,,,,,,
19,-7.318996906280518,-4.618210792541504,-6.390270709991455,-6.776211261749268,-6.828172206878662,-7.054652690887451,,,,,,
5,-7.424745082855225,-7.628862380981445,-7.9050726890563965,-8.82228946685791,-8.352424621582031,-7.5453715324401855,-0.2693764269351959,-0.3249052166938782,-4.586137771606445,-8.60866928100586,-36.61103057861328,-34.839107513427734
4,-7.10008430480957,-3.709778070449829,-7.120541572570801,-7.246257305145264,-7.199329376220703,-7.23881721496582,-1.2870336771011353,-0.1246066838502883,-14.290605545043944,-41.2308464050293,-40.74892425537109,-42.67884826660156
12,-8.099977493286133,-5.848791599273682,-4.7602949142456055,-4.486371994018555,-6.321071624755859,-5.698533058166504,,,,,,
13,-7.926461219787598,-6.023094654083252,-6.714155197143555,-5.474557399749756,-7.059433460235596,-6.977575302124023,-0.4503061175346374,-0.2777268886566162,-0.0290807392448186,-0.3270282447338104,-18.313417434692383,-34.42749786376953
7,-7.969078540802002,-6.537778377532959,-5.69420051574707,-6.763653755187988,-6.803489208221436,-6.58759069442749,-0.7263935804367065,-0.8953636884689331,-0.2067074477672577,-14.119035720825195,-22.762638092041016,-27.791553497314453
6,-7.432253837585449,-8.675926208496094,-6.071918487548828,-5.28771448135376,-6.341742038726807,-6.5406494140625,-1.9586727619171145,-0.6368021965026855,-6.830776214599609,-7.729420185089111,-9.018644332885742,-13.714776039123535
15,-7.816447257995605,-6.514490604400635,-7.568807125091553,-8.213269233703613,-8.607327461242676,-9.507986068725586,,,,,,
14,-8.060977935791016,-7.884988784790039,-7.904058933258057,-7.367649078369141,-7.98891019821167,-7.649137020111084,,,,,,
