,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-4.016249656677246,-6.752323627471924,-6.489850521087647,-6.714454174041748,-6.590881824493408,-7.815897464752197
1,-4.733094215393066,-5.945906639099121,-6.564451217651367,-7.020574569702148,-7.130721569061279,-9.121881484985352
2,-3.77742600440979,-5.429910659790039,-6.386832237243652,-5.95003604888916,-4.900107383728027,-5.108015060424805
3,-3.752064228057861,-5.170559406280518,-4.803481101989746,-5.983436107635498,-6.802189350128174,-6.84455156326294
5,-3.724447250366211,-5.632837772369385,-4.08787727355957,-4.630373001098633,-5.2226104736328125,-5.33511209487915
7,-1.888845682144165,-5.602927684783936,-6.20395565032959,-6.081230163574219,-6.722229480743408,-6.844294548034668
6,-3.250794172286988,-5.0630717277526855,-5.469366073608398,-6.563910961151123,-6.42357349395752,-6.651773452758789
8,-4.521642684936523,-5.264050960540772,-5.513707637786865,-7.321368217468262,-7.065013885498047,-8.375999450683594
9,-2.8124585151672363,-4.988858222961426,-4.893732070922852,-4.624189376831055,-6.90267276763916,-7.630693435668945
10,-4.002032279968262,-5.51237154006958,-5.614228248596191,-7.285165786743164,-7.388364315032959,-8.139792442321777
11,-3.086565494537353,-4.929769515991211,-6.116202354431152,-4.77736234664917,-4.59004545211792,-5.550255298614502
13,-2.124758243560791,-4.703865051269531,-5.791073322296143,-6.60146951675415,-6.637366771697998,-6.928844928741455
12,-4.900650978088379,-4.809107303619385,-4.276167869567871,-5.775177001953125,-6.449615955352783,-6.745021820068359
14,-4.045103549957275,-4.732783794403076,-4.918842315673828,-6.083762168884277,-6.2444610595703125,-6.770577907562256
23,-3.327526092529297,-4.48726224899292,-4.494973182678223,-4.393153667449951,-4.538287162780762,-3.7363626956939697
16,-3.079729080200196,-3.7020397186279297,-4.928372383117676,-5.20091438293457,-5.575084686279297,-5.2881855964660645
17,-3.797457218170166,-4.621006965637207,-4.859736442565918,-4.743276119232178,-5.064850330352783,-4.210231781005859
18,-5.205625057220459,-5.480835914611816,-5.925760269165039,-6.977008819580078,-7.1333417892456055,-7.824339389801025
19,-4.533440113067627,-5.333436489105225,-5.010149002075195,-6.516383171081543,-6.256653785705566,-6.661263465881348
4,-3.567256689071656,-4.979546546936035,-5.055509567260742,-5.477446556091309,-5.399386405944824,-6.024137020111084
22,-4.293237686157227,-5.864784240722656,-6.565290451049805,-6.526669502258301,-7.523034572601318,-7.568893909454346
21,-6.925104141235352,-5.6212544441223145,-6.50456428527832,-6.757651329040527,-5.741930961608887,-4.907361030578613
15,-3.2447404861450195,-4.030972003936768,-6.658359050750732,-6.769210815429688,-6.365206241607666,-7.222779273986816
20,-4.2023701667785645,-5.662744522094727,-5.458376884460449,-7.153655052185059,-7.38745641708374,-7.662838935852051
