,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_618,agent1_618,agent2_618,agent3_618,agent4_618,agent5_618
0,-2.3996267318725586,-2.133618354797364,-4.959552764892578,-5.724647045135498,-4.210448265075684,-5.173065185546875,-0.202039435505867,-0.0180179961025714,-7.631200313568115,-11.945416450500488,-10.948992729187012,-8.032247543334961
2,-1.9506334066390991,-2.479015350341797,-2.650686264038086,-6.403546333312988,-6.683726787567139,-6.605156421661377,-0.3975645005702972,-0.0257127564400434,-0.2799865305423736,-8.150151252746582,-12.305825233459473,-11.797390937805176
3,-1.8149913549423216,-4.29095458984375,-6.8877668380737305,-7.269257068634033,-7.269257068634033,-7.932255744934082,-0.8367317914962769,-0.2426571696996688,-6.65804386138916,-12.044528007507324,-12.044528007507324,-10.511075019836426
5,-3.0441019535064697,-2.7906291484832764,-4.035856246948242,-4.835630416870117,-5.860405921936035,-5.798930168151856,-1.275110960006714,-0.0183369144797325,-0.0599896609783172,-7.916916847229004,-9.973954200744627,-12.420562744140623
8,-3.9832141399383545,-4.003910541534424,-4.90812349319458,-4.626230239868164,-5.005984306335449,-4.612888813018799,-1.4145125150680542,-0.922067165374756,-1.5495400428771973,-0.4609962403774261,-9.600096702575684,-13.052762031555176
16,-2.028442144393921,-3.244706153869629,-5.957003116607666,-6.632172107696533,-6.548068046569824,-5.435082912445068,-0.2267574518918991,-0.0581696182489395,-1.7305335998535156,-9.22970962524414,-9.772921562194824,-12.041473388671877
1,-2.303593873977661,-2.720942497253418,-2.251634120941162,-5.885266780853272,-5.598728179931641,-6.033353805541992,-0.2275844812393188,-0.2557053565979004,-0.143629714846611,-21.759031295776367,-3.886334896087648,-18.51223564147949
10,-3.485025644302368,-2.361830234527588,-3.139350652694702,-4.405561923980713,-6.9232707023620605,-7.2963786125183105,-0.5584409832954407,-0.135751411318779,-0.4944374561309814,-0.0836703702807426,-10.29446506500244,-11.536402702331543
9,-1.7996644973754885,-2.278350830078125,-6.749185562133789,-6.299894332885742,-4.833407402038574,-6.934642791748047,-0.3203758597373962,-0.1371895670890808,-10.647290229797363,-11.833547592163086,-20.47971534729004,-22.36214828491211
17,-1.194602608680725,-3.0099294185638428,-5.3940749168396,-4.232701301574707,-5.351659774780273,-5.431283473968506,-0.0488223619759082,-0.3592487275600433,-15.463123321533203,-16.678239822387695,-15.725286483764648,-14.775914192199709
11,-2.8879311084747314,-3.105167865753174,-5.570174217224121,-6.481348514556885,-7.431022644042969,-7.30156135559082,-1.590946912765503,-0.0192352756857872,-9.06239414215088,-9.515299797058104,-10.011360168457031,-9.257979393005373
18,-1.4385027885437012,-1.9353368282318115,-5.439145088195801,-5.439145088195801,-5.439145088195801,-5.676382064819336,-0.1262435317039489,-1.9811434745788568,-2.5583457946777344,-2.5583457946777344,-2.5583457946777344,-7.506531715393066
19,-2.3283464908599854,-2.5687410831451416,-3.025815010070801,-4.188273906707764,-4.328746318817139,-5.306267738342285,-0.4880135059356689,-0.1550966799259185,-0.1832992434501648,-0.6951034069061279,-0.4529439806938171,-1.42699933052063
4,-2.57384729385376,-5.212786674499512,-3.824372291564941,-5.483765125274658,-5.543324947357178,-6.015925884246826,-0.7590994834899902,-0.6558225154876709,-0.3351461887359619,-11.658973693847656,-14.55740451812744,-14.518598556518556
12,-3.422036409378052,-3.8863582611083984,-3.1986119747161865,-6.664491176605225,-6.927166938781738,-7.1483001708984375,-2.0916759967803955,-3.763360261917114,-0.1629433035850525,-9.454230308532717,-13.8343505859375,-14.846321105957031
7,-2.8150877952575684,-2.802467107772827,-1.6422882080078125,-3.47033953666687,-3.675584316253662,-4.1302876472473145,-0.417168527841568,-0.2083164602518081,-0.2391470074653625,-2.4772064685821533,-0.5486190319061279,-15.31021213531494
13,-1.5049232244491575,-3.423923969268799,-4.555340766906738,-5.7415032386779785,-5.703085422515869,-5.639908313751221,-0.3009451627731323,-0.4333399534225464,-10.045873641967772,-12.791556358337402,-9.97714138031006,-9.462469100952148
6,-1.7256243228912354,-2.9803175926208496,-4.154467105865479,-4.260386943817139,-3.693480253219605,-5.21881103515625,-1.1862070560455322,-0.1426284164190292,-1.9714280366897583,-0.4951734244823456,-0.3445691466331482,-2.4290459156036377
14,-2.7666573524475098,-3.36424207687378,-3.40808653831482,-4.101177215576172,-3.739133358001709,-4.057042121887207,-1.205109477043152,-0.0253678560256958,-0.1204299181699752,-2.1569480895996094,-0.8331955671310425,-5.455410480499268
15,-1.4460564851760864,-2.9431395530700684,-2.9483442306518555,-3.999502182006836,-5.010166645050049,-4.4935221672058105,-0.0382766425609588,-0.0625765398144722,-0.2566319406032562,-8.012144088745117,-14.352103233337402,-29.236284255981445
