,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_503,agent1_503,agent2_503,agent3_503,agent4_503,agent5_503
0,-0.8525052666664124,-4.18467378616333,-2.780847311019897,-8.138084411621094,-6.538651466369629,-7.335071086883545,-0.4695760607719421,-1.0338811874389648,-0.2406908869743347,-12.00070095062256,-31.41696548461914,-39.54717254638672
2,-0.8450924158096313,-5.60076904296875,-7.556148052215576,-8.480399131774902,-7.448080062866211,-6.969200611114502,-0.2985553741455078,-0.9732984900474548,-12.733859062194824,-9.78665828704834,-7.728213310241699,-6.668736934661865
3,-0.6251386404037476,-5.434237003326416,-7.655368804931641,-8.936948776245117,-9.296061515808104,-8.601192474365234,-0.0165088828653097,-0.2708374261856079,-0.0190631411969661,-30.477163314819336,-35.521053314208984,-38.58201599121094
8,-0.7347922921180725,-3.642156600952149,-8.943793296813965,-7.378159523010254,-8.446280479431152,-7.609368324279785,-1.1469385623931885,-0.3889394998550415,-4.995862483978272,-32.3582649230957,-36.150611877441406,-35.26778793334961
16,-1.1561810970306396,-3.072349548339844,-8.02120590209961,-10.129356384277344,-8.508805274963379,-8.203492164611816,-0.7477995157241821,-0.0141299683600664,-10.182337760925291,-14.331099510192873,-11.442570686340332,-18.938451766967773
1,-1.073642015457153,-1.836547255516052,-3.2483489513397217,-4.954160690307617,-7.874332427978516,-5.097578525543213,-0.2360231578350067,-0.048422485589981,-0.1499412357807159,-0.1850669831037521,-8.434621810913086,-32.936485290527344
9,-0.8518471717834473,-3.0819694995880127,-3.1652374267578125,-1.6843494176864624,-3.959208250045776,-6.622246265411377,-0.9029905796051024,-0.0850795209407806,-1.1521556377410889,-0.1487327963113784,-0.2544940412044525,-21.01961898803711
17,-0.5623518228530884,-3.420922040939331,-4.917814254760742,-7.7299957275390625,-10.564496994018556,-8.58614444732666,-0.052204567939043,-0.3009671568870544,-0.5886768102645874,-12.39564609527588,-12.803681373596191,-15.443778038024902
10,-0.8496696352958679,-7.277822494506836,-6.040794849395752,-7.781788349151611,-7.765883922576904,-7.265278339385986,-1.6080191135406494,-6.636887550354004,-16.166162490844727,-19.641883850097656,-18.743972778320312,-13.874344825744629
11,-1.2861231565475464,-6.865478992462158,-8.752104759216309,-8.425948143005371,-8.435480117797852,-8.702608108520508,-1.4253970384597778,-5.658023357391357,-13.862157821655272,-14.454934120178224,-14.316069602966309,-18.40312385559082
18,-0.5690749883651733,-3.3599181175231934,-7.537925243377685,-7.376045227050781,-9.111077308654783,-7.842457294464111,-0.0729565843939781,-0.1434256136417389,-3.8927578926086426,-10.591715812683104,-15.033854484558104,-17.154951095581055
19,-1.1522246599197388,-3.315493583679199,-3.042318105697632,-6.569354057312012,-6.932670593261719,-8.133768081665039,-0.535720944404602,-0.0703163966536521,-2.651301383972168,-7.855036735534668,-12.61823844909668,-18.14804458618164
5,-1.0270847082138062,-1.7688205242156982,-5.706273555755615,-8.252921104431152,-9.946322441101074,-8.671628952026367,-3.150247812271118,-0.0511692427098751,-0.1101279929280281,-11.210237503051758,-28.99751853942871,-35.26183319091797
4,-0.8713242411613464,-3.057695150375366,-3.5467543601989746,-2.816637754440308,-3.2116219997406006,-5.340920925140381,-0.118616834282875,-0.0915769040584564,-0.0398095399141311,-0.0728847086429596,-0.6734359860420227,-30.44150161743164
12,-1.539726495742798,-5.522567272186279,-5.9012627601623535,-6.960184574127197,-3.637699604034424,-1.267652988433838,-1.1299400329589844,-0.7310413122177124,-0.3016058802604675,-2.1464943885803223,-0.6512813568115234,-1.0386602878570557
7,-1.5423026084899902,-3.171621561050415,-4.362820148468018,-5.617566108703613,-6.2195563316345215,-6.406089782714844,-0.8982367515563965,-0.1328918039798736,-10.664640426635742,-30.724477767944336,-32.1444091796875,-33.1585578918457
13,-1.0940203666687012,-2.3231875896453857,-3.2733216285705566,-4.033876419067383,-8.563382148742676,-6.517382621765137,-0.5180985927581787,-0.3942887187004089,-1.8755295276641848,-0.3862880766391754,-15.04378604888916,-14.99037265777588
6,-0.7190398573875427,-3.286602020263672,-7.257818698883057,-8.730890274047852,-8.029928207397461,-8.532821655273438,-1.9076800346374512,-0.0592893064022064,-1.1643670797348022,-7.867008686065674,-11.177945137023926,-11.699196815490724
15,-1.3321874141693115,-3.50366735458374,-3.436401605606079,-7.151367664337158,-9.098529815673828,-7.778465270996094,,,,,,
14,-0.9622445106506348,-3.972248792648315,-3.827150344848633,-5.228425025939941,-8.517305374145508,-8.6839599609375,,,,,,
