,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-1.9187476634979248,-3.791919469833374,-5.437180519104004,-6.0900187492370605,-7.340530872344971,-8.645607948303223
1,-1.3460246324539185,-5.697656154632568,-7.089152812957764,-9.599051475524902,-9.11882781982422,-9.183798789978027
2,-1.6912574768066406,-2.226129531860352,-7.824538230895996,-10.03246021270752,-10.140942573547363,-8.639290809631348
3,-1.1905173063278198,-6.729888439178467,-12.249049186706545,-11.742326736450195,-12.446928024291992,-11.387526512145996
5,-1.3535481691360474,-5.17979907989502,-6.419580936431885,-8.506381034851074,-8.971170425415039,-7.590495586395264
7,-2.0940566062927246,-3.787818431854248,-9.044425010681152,-9.965806007385254,-8.837342262268066,-8.500767707824707
6,-1.1322959661483765,-8.560077667236328,-7.869685173034668,-8.411417007446289,-8.251550674438477,-7.007468700408936
8,-1.417225003242493,-5.232685565948486,-7.160439491271973,-7.577387809753418,-10.292433738708496,-9.677777290344238
9,-1.293682098388672,-5.041277885437012,-4.288986682891846,-9.272387504577637,-10.08495807647705,-7.575464725494385
10,-2.1499292850494385,-4.846545219421387,-4.616751670837402,-6.968240261077881,-8.338399887084961,-8.106067657470703
11,-1.7007498741149902,-5.8907246589660645,-5.265551090240479,-6.979084014892578,-5.190645217895508,-5.4874267578125
13,-1.5574451684951782,-4.0503458976745605,-4.613189697265625,-7.533138275146484,-8.496281623840332,-7.545504093170166
12,-1.374085783958435,-2.82011079788208,-7.458530902862549,-6.782867431640625,-6.4053826332092285,-8.344063758850098
14,-1.6004369258880615,-1.6176707744598389,-2.817712545394897,-6.161120414733887,-8.079654693603516,-6.850414276123047
23,-0.991903841495514,-3.217681884765625,-4.684469699859619,-8.860367774963379,-9.621020317077637,-9.110153198242188
16,-1.5559417009353638,-3.1246278285980225,-1.6999332904815674,-8.407206535339355,-8.10586929321289,-7.359228134155273
17,-0.6768758296966553,-6.739202499389648,-8.696369171142578,-9.953924179077148,-10.447345733642578,-9.207624435424805
18,-3.255406618118286,-6.416173458099365,-7.761955261230469,-9.02336883544922,-10.271944999694824,-8.439520835876465
19,-2.0283474922180176,-6.040589809417725,-5.025334358215332,-9.36931610107422,-10.229300498962402,-9.585175514221191
4,-2.2073616981506348,-6.654595851898193,-7.284154415130615,-8.942877769470215,-9.396530151367188,-8.113932609558105
22,-1.272221922874451,-6.636319637298584,-6.820119857788086,-8.152867317199707,-10.171481132507324,-8.329533576965332
21,-2.069636821746826,-5.832172393798828,-10.630099296569824,-10.622218132019045,-10.093477249145508,-8.784758567810059
15,-1.23958420753479,-1.9930460453033447,-7.774553298950195,-9.236571311950684,-9.238144874572754,-7.602772235870361
20,-0.7612706422805786,-9.574098587036133,-10.367920875549316,-8.144688606262207,-8.882161140441895,-7.305509090423584
