,agent0_kangaroo,agent0_koala,agent0_lion,agent0_elephant,agent0_giraffe,agent0_dolphin,agent1_kangaroo,agent1_koala,agent1_lion,agent1_elephant,agent1_giraffe,agent1_dolphin,agent2_kangaroo,agent2_koala,agent2_lion,agent2_elephant,agent2_giraffe,agent2_dolphin,agent3_kangaroo,agent3_koala,agent3_lion,agent3_elephant,agent3_giraffe,agent3_dolphin,agent4_kangaroo,agent4_koala,agent4_lion,agent4_elephant,agent4_giraffe,agent4_dolphin,agent5_kangaroo,agent5_koala,agent5_lion,agent5_elephant,agent5_giraffe,agent5_dolphin,agent0_panda,agent0_penguin,agent0_chimpanzee,agent0_orangutan,agent1_panda,agent1_penguin,agent1_chimpanzee,agent1_orangutan,agent2_panda,agent2_penguin,agent2_chimpanzee,agent2_orangutan,agent3_panda,agent3_penguin,agent3_chimpanzee,agent3_orangutan,agent4_panda,agent4_penguin,agent4_chimpanzee,agent4_orangutan,agent5_panda,agent5_penguin,agent5_chimpanzee,agent5_orangutan,agent0_44,agent1_44,agent2_44,agent3_44,agent4_44,agent5_44
0,-4.418513298034668,-5.3195905685424805,-7.242613792419434,-3.444052457809448,-0.646997332572937,-1.602386236190796,-4.14282751083374,-4.042591094970703,-7.873768329620361,-1.260115146636963,-1.2977561950683594,-1.2798829078674316,-4.298983097076416,-4.1682538986206055,-8.18626880645752,-2.19917631149292,-1.1731919050216677,-1.8551095724105835,-7.09251880645752,-8.014861106872559,-7.353640556335449,-2.4024603366851807,-4.913800239562988,-0.3246099650859833,-6.866708278656006,-8.003314018249512,-7.692430973052978,-2.965768337249756,-4.895071029663086,-0.3961654007434845,-6.738124370574951,-7.10468053817749,-6.860808849334717,-2.4212749004364014,-4.348922729492188,-0.4028612971305847,-5.779416084289551,-2.609193086624145,-7.958633899688721,-10.058371543884276,-5.539076328277588,-3.218993663787842,-7.680233955383301,-7.571133136749268,-5.910285472869873,-4.024436950683594,-6.194695949554443,-5.821388244628906,-6.111846923828125,-7.123905181884766,-6.4062275886535645,-7.826268196105957,-5.232711315155029,-6.549269676208496,-6.550474166870117,-8.135374069213867,-5.942915439605713,-6.25333833694458,-6.233649253845215,-6.391249656677246,-0.573642373085022,-0.4245917201042175,-0.4742381274700165,-22.237462997436523,-27.4365348815918,-27.793561935424805
2,-4.659614562988281,-5.568875789642334,-7.749131202697754,-3.740431547164917,-0.6802108287811279,-1.3048179149627686,-5.554129123687744,-5.515397071838379,-7.534902095794678,-0.8858152627944946,-1.7079709768295288,-1.2129522562026978,-7.042950630187988,-7.222699165344238,-5.479663848876953,-1.7167587280273438,-2.952162027359009,-0.3269577026367187,-9.204082489013672,-9.63878059387207,-7.592774391174316,-2.871914863586426,-6.176213264465332,-0.0879756212234497,-7.611566066741943,-7.263884544372559,-7.470250606536865,-2.8677971363067627,-4.3445329666137695,-0.1374905258417129,-6.613165378570557,-5.546587467193604,-7.061288356781006,-2.2337796688079834,-3.259469985961914,-0.4341312944889068,-5.93967342376709,-2.746396064758301,-8.161099433898926,-9.956478118896484,-5.7850213050842285,-6.276873588562012,-7.04132890701294,-7.022444725036621,-6.369162559509277,-9.630067825317385,-7.074489593505859,-7.013544082641602,-8.059672355651855,-11.938114166259766,-7.614567279815674,-8.661786079406738,-6.461799144744873,-9.519119262695312,-7.3601579666137695,-7.351045608520508,-5.588036060333252,-7.692967414855957,-7.1452317237854,-6.610947132110596,-0.0534476600587368,-0.1322544813156128,-9.865859031677246,-29.588184356689453,-23.94147109985352,-24.48307228088379
4,-4.692580223083496,-5.558804512023926,-7.339951515197754,-3.3768606185913086,-1.0490165948867798,-1.0159186124801636,-5.207623958587647,-4.923516750335693,-7.328073024749756,-1.1311250925064087,-1.8161742687225344,-0.9691778421401978,-6.716174125671387,-6.721448421478272,-8.614753723144531,-3.59535813331604,-4.596668720245361,-0.6820271015167236,-6.869550704956055,-7.201659679412842,-8.280649185180664,-3.155046463012696,-4.275113105773926,-0.5155562162399292,-6.909258365631104,-7.232663154602051,-8.265859603881836,-3.1324622631073,-4.283972263336182,-0.5099131464958191,-7.426085948944092,-7.855981349945068,-8.269428253173828,-3.0579659938812256,-4.586793422698975,-0.4430672824382782,-5.529430389404297,-2.3527486324310303,-7.817512035369873,-9.76136302947998,-4.796464443206787,-3.65552020072937,-7.31148624420166,-7.759042263031006,-6.788363456726074,-7.402639389038086,-6.997077941894531,-6.413973808288574,-6.96996021270752,-7.750607967376709,-6.84440279006958,-5.996411323547363,-6.982870578765869,-7.806173324584961,-6.830165863037109,-6.006417751312256,-7.360151767730713,-8.316824913024902,-6.863308906555176,-6.53739070892334,-0.152426466345787,-0.2328344732522964,-15.274650573730469,-11.722919464111328,-11.684088706970217,-18.14787483215332
6,-5.019772052764893,-5.392003536224365,-8.035740852355957,-4.451601028442383,-0.424595445394516,-2.230060577392578,-5.090875625610352,-5.393570899963379,-7.013093948364258,-0.955514669418335,-1.6790422201156616,-1.5179784297943115,-6.490177154541016,-6.284794807434082,-6.706250190734863,-2.337146520614624,-2.528237581253052,-0.5652005672454834,-6.214165687561035,-5.953286170959473,-6.607832908630371,-2.189919233322144,-2.432837009429932,-0.3676632046699524,-6.901182174682617,-7.588787078857422,-7.196414947509766,-2.356923341751098,-4.3920063972473145,-0.2147209048271179,-6.5115065574646,-6.5132670402526855,-6.695384502410889,-2.907886028289795,-3.125037670135498,-0.659029483795166,-5.963733673095703,-2.446443796157837,-8.47811508178711,-10.247932434082031,-6.144292831420898,-4.306635856628418,-6.526868343353272,-6.334196090698242,-6.413939476013184,-7.508888721466064,-5.577948093414307,-4.984975814819336,-6.100879669189453,-8.03281307220459,-6.014180660247803,-5.553142070770264,-6.867568016052246,-8.995938301086426,-6.28849983215332,-7.336344242095947,-7.122937679290772,-8.853503227233887,-6.566353797912598,-4.942739963531494,-0.0538946092128753,-1.023212432861328,-3.339155673980713,-11.333791732788086,-7.506200790405273,-6.862520217895508
5,-4.096796035766602,-5.231426239013672,-7.309676170349121,-3.30436635017395,-0.8621970415115356,-1.3060848712921145,-3.378280639648437,-3.7482759952545166,-7.875591278076172,-1.3225784301757812,-1.283433437347412,-1.3950080871582031,-3.4985923767089844,-4.342895030975342,-6.688653469085693,-0.8003688454627991,-1.4293879270553589,-1.978387355804444,-7.347071647644043,-6.923818111419678,-6.4448442459106445,-0.5317829847335815,-1.2260321378707886,-2.6361207962036133,-6.507534027099609,-7.554965019226074,-7.472323417663574,-2.2165896892547607,-3.988639116287232,-0.2147891819477081,-7.045573711395264,-8.711766242980957,-8.861719131469727,-2.5875422954559326,-4.922888278961182,-0.1521804183721542,-5.297994613647461,-2.3282999992370605,-7.816332817077637,-9.75958251953125,-5.266201019287109,-3.6523008346557617,-7.232667446136475,-7.711910247802734,-5.102792263031006,-4.233753681182861,-6.9701361656188965,-6.756709098815918,-4.962582588195801,-6.465213775634766,-8.28371810913086,-8.841753959655762,-5.79792594909668,-7.621327877044678,-6.520676612854004,-7.839622497558594,-6.6153244972229,-7.972046852111816,-7.284438133239746,-8.537936210632324,-0.0543769150972366,-0.0737597048282623,-0.515710175037384,-0.0043967864476144,-14.43160629272461,-26.84537124633789
1,-4.382670402526856,-5.490828037261963,-7.50728178024292,-3.8399596214294434,-0.7781507968902588,-1.82837438583374,-4.676012992858887,-4.656288623809815,-6.114540576934815,-1.254934787750244,-0.614747941493988,-3.063021183013916,-4.302699089050293,-4.152406692504883,-6.960464477539063,-1.8053996562957764,-1.0527342557907104,-1.8763549327850344,-2.6375460624694824,-3.3264236450195312,-7.967645168304443,-2.343689441680908,-1.581792235374451,-2.3711256980896,-3.9376158714294434,-3.625133514404297,-8.353261947631836,-2.344132900238037,-2.220113754272461,-1.7914072275161743,-5.8876824378967285,-5.701040744781494,-8.642792701721191,-3.2186055183410645,-3.58327579498291,-0.8156856894493103,-5.591122150421143,-2.0967507362365723,-7.785655498504639,-9.90682315826416,-5.23467493057251,-4.463788986206055,-8.114871978759766,-8.842452049255371,-4.95542049407959,-3.312939405441284,-7.60274076461792,-7.175649642944336,-5.268190860748291,-1.471073031425476,-6.764158248901367,-7.169756889343262,-4.804391384124756,-2.2833969593048096,-5.917351722717285,-6.98640775680542,-6.396131992340088,-5.752800464630127,-6.56636905670166,-7.590826988220215,-0.0533621422946453,-0.0228352304548025,-0.0222622193396091,-0.508725643157959,-1.4995861053466797,-16.680456161499023
3,-4.715149879455566,-5.569390773773193,-7.397739887237549,-4.135818958282471,-0.5199127793312073,-1.8301395177841189,-5.3665313720703125,-5.296454906463623,-6.967844009399414,-1.3086156845092771,-2.126579999923706,-0.8457364439964294,-5.286189079284668,-4.731939315795898,-7.111932277679443,-1.7292189598083496,-0.897716760635376,-1.208024501800537,-7.645272254943848,-6.549282073974609,-8.028496742248535,-2.1582610607147217,-3.2148032188415527,-1.612087965011597,-8.16484260559082,-7.748761653900146,-8.07606315612793,-2.18548321723938,-4.364907741546631,-0.5649234652519226,-7.903901100158691,-7.764176845550537,-8.27802562713623,-2.357829093933105,-4.314671039581299,-0.5676679015159607,-5.710402011871338,-2.168254137039185,-8.245668411254883,-10.224529266357422,-5.548611640930176,-4.194324970245361,-6.659393310546875,-6.369471073150635,-6.041702747344971,-4.030864715576172,-7.529406547546387,-7.071252822875977,-7.670073509216309,-7.030267715454102,-6.767722129821777,-5.59597110748291,-7.62403392791748,-8.969069480895996,-6.597965717315674,-5.890761375427246,-7.474834442138672,-8.39725399017334,-6.478888034820557,-6.486451625823975,-0.0045726583339273,-0.4458908438682556,-0.0707454606890678,-2.166903495788574,-11.477802276611328,-16.32463264465332
8,-4.566564083099365,-5.183889389038086,-7.6194071769714355,-3.7311275005340576,-0.6170649528503418,-1.6732165813446045,-2.831143617630005,-3.5333361625671387,-8.396291732788086,-1.7731363773345947,-0.80580735206604,-2.031374216079712,-2.5263166427612305,-3.3605704307556152,-9.430584907531738,-3.5644760131835938,-1.5454590320587158,-3.8657054901123047,-5.18138599395752,-5.357922077178955,-8.266724586486816,-3.137861490249634,-2.856431007385254,-0.6764337420463562,-7.913800239562988,-7.6012139320373535,-7.49030590057373,-2.574894905090332,-4.64719295501709,-0.1681299358606338,-7.67488956451416,-7.66805362701416,-7.655126571655273,-2.733210563659668,-5.008163928985596,-0.1981115192174911,-5.922006130218506,-2.449531555175781,-8.163207054138184,-9.478896141052246,-4.854909896850586,-2.9133286476135254,-7.426109790802002,-8.091283798217773,-4.93850040435791,-3.0046627521514893,-8.097601890563965,-8.606011390686035,-5.423337936401367,-6.194138526916504,-6.255890846252441,-7.112088203430176,-6.189749717712402,-9.65333652496338,-6.294069290161133,-6.790494918823242,-5.9485368728637695,-8.4881010055542,-6.594995021820068,-6.897508144378662,-3.446735620498657,-0.165696695446968,-0.4958101212978363,-15.713130950927734,-12.864163398742676,-25.56600952148437
7,-4.400912284851074,-5.181275367736816,-7.911317825317383,-3.228262186050415,-0.8226643204689026,-1.5641796588897705,-4.830144882202148,-4.761608123779297,-7.1670989990234375,-1.5021369457244873,-1.869232177734375,-0.6581485271453857,-4.141704559326172,-4.985593795776367,-7.942024230957031,-1.4373818635940552,-1.847805738449097,-0.7278767824172974,-6.5920915603637695,-7.153903007507324,-8.199039459228516,-1.580444097518921,-3.804918766021729,-0.3108804225921631,-8.45241641998291,-8.191107749938965,-8.56839370727539,-2.7823357582092285,-5.690725326538086,-0.1983819454908371,-8.605294227600098,-8.95804500579834,-8.184015274047852,-2.491713047027588,-5.53303337097168,-0.1766648441553115,-5.556608200073242,-2.321408271789551,-8.102408409118652,-9.676761627197266,-5.048391342163086,-3.770772933959961,-7.321835994720459,-7.320107936859131,-4.971284866333008,-5.348125457763672,-7.09899377822876,-7.8769755363464355,-6.804937362670898,-7.621880531311035,-7.37728214263916,-7.282083511352539,-7.217512607574463,-9.966139793395996,-7.164337635040283,-6.392499923706055,-7.81734037399292,-10.836141586303713,-7.177608489990234,-7.16911506652832,-0.4539767205715179,-0.0157374888658523,-0.2112507671117782,-0.6630793213844299,-17.076969146728516,-21.293113708496094
10,-4.5295729637146,-5.735130786895752,-7.102694988250732,-3.128391742706299,-0.811373770236969,-1.671197533607483,-4.48671817779541,-3.696451425552368,-6.8552093505859375,-1.4411295652389526,-0.9150242805480956,-2.1136608123779297,-5.05075740814209,-5.624032497406006,-6.401947975158691,-2.0831613540649414,-1.40866219997406,-1.1513738632202148,-7.400871753692627,-7.579741954803467,-7.978973865509033,-2.732147455215454,-5.497987270355225,-0.2885859608650207,-7.048124313354492,-7.276124954223633,-7.987627983093262,-3.1518096923828125,-4.691941261291504,-0.2876051962375641,-6.968941688537598,-6.474171161651611,-8.525392532348633,-3.792665481567383,-4.404292106628418,-1.685651779174805,-6.034292697906494,-2.8665993213653564,-7.768125534057617,-9.87306785583496,-4.915410995483398,-2.543602705001831,-7.494898319244385,-7.445220470428467,-5.764917373657227,-3.718634843826294,-6.149533748626709,-5.946422100067139,-6.088615894317627,-8.797616958618164,-6.488422870635986,-7.533320426940918,-6.21065616607666,-8.260923385620117,-6.651785850524902,-6.543505668640137,-6.510617256164551,-7.662469387054443,-7.659718036651611,-6.883667469024658,-0.1375625133514404,-0.0800223052501678,-0.1393399685621261,-13.216062545776367,-16.120018005371094,-21.215864181518555
