,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-2.000734329223633,-2.1244564056396484,-5.490666389465332,-6.389447212219238,-4.001453876495361,-4.325874328613281,-1.6806237697601318,-7.868968486785889,-6.7285637855529785,-8.199139595031738,-2.0037589073181152,-1.1157832145690918,-5.671824932098389,-7.087160587310791,-5.2648539543151855,-6.479872226715088,-1.0352075099945068,-5.633512020111084,-5.330820560455322,-6.965938568115234,-2.00393295288086,-0.4788742661476135,-6.083539009094238,-6.925069808959961,-6.717404365539551,-8.812180519104004,-2.9693734645843506,-6.160038471221924,-6.521225929260254,-5.614016056060791,-2.206199407577514,-0.3063160479068756,-6.241212368011475,-7.198105335235596,-7.532236576080322,-9.365138053894045,-3.920466661453247,-6.303459644317627,-7.352904319763184,-6.063161373138428,-2.072887897491455,-0.3420147895812988,-6.306473255157471,-7.477721691131592,-7.636354923248291,-10.00374984741211,-3.942374706268311,-6.202023029327393,-7.293621063232422,-6.018052101135254,-2.028948307037353,-0.3932251930236816,-6.763081073760986,-7.572970867156982,-7.710893154144287,-8.981270790100098,-4.462673187255859,-6.29449462890625,-7.663399696350098,-5.8898701667785645
1,-1.710928201675415,-2.369215250015259,-6.750699043273926,-6.285816192626953,-3.938242435455322,-3.5538954734802246,-1.0486729145050049,-7.470022678375244,-6.324690818786621,-8.74828052520752,-1.362321138381958,-2.1938297748565674,-6.601707935333252,-6.3456645011901855,-5.27075719833374,-6.308309078216553,-0.6703409552574158,-6.582690238952637,-6.537688255310059,-6.624637603759766,-1.5642204284667969,-1.8118305206298828,-6.715785980224609,-6.124627113342285,-5.699437141418457,-6.154319763183594,-0.7148153781890869,-6.536916732788086,-6.176729679107666,-6.30196475982666,-1.8727000951766968,-0.3589671850204468,-6.637851238250732,-7.1426615715026855,-6.885843753814697,-8.949499130249023,-3.706655263900757,-6.513288021087647,-7.245841979980469,-7.0005974769592285,-2.125824451446533,-0.3278394937515259,-6.7378668785095215,-7.519752979278564,-7.506723880767822,-9.945268630981444,-4.445649147033691,-6.576479434967041,-7.8188252449035645,-7.028892993927002,-2.2655067443847656,-0.5233116149902344,-6.944527626037598,-7.19919490814209,-7.094438552856445,-8.257694244384766,-3.898358583450317,-6.660029888153076,-7.169552803039551,-6.711012840270996
2,-2.325571060180664,-2.3409786224365234,-6.542117118835449,-5.832182884216309,-3.181270837783813,-2.984049797058105,-0.9546232223510742,-7.3988518714904785,-6.095377445220947,-9.019118309020996,-1.810023307800293,-1.7447843551635742,-4.544556617736816,-6.340411186218262,-2.8937673568725586,-2.133192777633667,-1.5080045461654663,-5.779341220855713,-3.0805041790008545,-7.549860954284668,-2.063509464263916,-1.85982358455658,-4.840047359466553,-6.450459003448486,-3.0024733543396,-4.034812927246094,-1.109951376914978,-6.210114002227783,-4.161681175231934,-6.455016613006592,-4.460222244262695,-2.950278043746948,-8.034618377685547,-9.254655838012695,-6.740565299987793,-8.238754272460938,-1.723482608795166,-8.511394500732422,-5.832134246826172,-7.06153678894043,-2.236276626586914,-0.5566195249557495,-6.658669471740723,-7.799263000488281,-7.808064460754394,-9.633864402770996,-4.201160907745361,-6.625681400299072,-7.50348949432373,-6.258828163146973,-2.663258552551269,-0.5535515546798706,-7.362092018127441,-8.052310943603516,-7.991988182067871,-9.05549144744873,-4.428625106811523,-7.03507137298584,-7.76033353805542,-6.474382400512695
3,-1.28041672706604,-1.596548318862915,-5.411211013793945,-5.996135711669922,-3.0452609062194824,-2.353286027908325,-1.8159259557724,-7.48801326751709,-5.359906196594238,-9.265385627746582,-1.8015297651290887,-0.2676838338375091,-6.122084617614746,-8.351574897766113,-6.862065315246582,-7.610589504241943,-4.105679988861084,-6.449660301208496,-7.577568531036377,-8.501328468322754,-2.4972145557403564,-0.3437837064266205,-5.04468297958374,-8.008944511413574,-4.2887797355651855,-6.433966636657715,-2.487826108932495,-6.490987300872803,-5.688139915466309,-8.43674373626709,-2.122668504714966,-0.2228995710611343,-5.969749450683594,-8.40279769897461,-6.158228874206543,-7.613397598266602,-3.672579288482666,-6.662651062011719,-6.9349212646484375,-8.628866195678711,-2.420595169067383,-1.0228041410446167,-4.2678985595703125,-7.789864540100098,-3.599261283874512,-4.3572845458984375,-2.450647115707397,-6.472445011138916,-3.637709617614746,-8.532036781311035,-2.134652614593506,-0.5018898248672485,-3.732530117034912,-8.164779663085938,-3.572333812713623,-3.753409385681152,-2.630177497863769,-6.016620635986328,-4.31967830657959,-8.150574684143066
5,-2.436877489089966,-1.9399950504302976,-6.42697286605835,-6.599307537078857,-3.1273016929626465,-3.324586868286133,-0.8858819007873535,-7.469731330871582,-5.796675682067871,-8.739808082580566,-1.567427635192871,-1.9431180953979488,-4.973041534423828,-7.212306022644043,-3.86061954498291,-3.702393531799317,-0.8611950278282166,-6.943552494049072,-5.287169456481934,-7.496796607971191,-2.1472489833831787,-1.8060777187347408,-5.189421653747559,-6.717643737792969,-4.130505561828613,-4.773183822631836,-0.6444029211997986,-6.353352546691895,-5.282128810882568,-6.0819902420043945,-1.631778120994568,-0.7855981588363647,-6.648258686065674,-7.160116672515869,-6.747269153594971,-9.207585334777832,-2.962014675140381,-6.401542663574219,-6.115187644958496,-5.880738735198975,-1.9793388843536377,-0.384051501750946,-6.970322608947754,-7.953262329101562,-7.465456962585449,-9.885160446166992,-4.36057186126709,-6.52045202255249,-7.575164318084717,-6.6799492835998535,-3.731833934783936,-2.062353610992432,-7.19651460647583,-8.537328720092773,-6.5560688972473145,-8.446793556213379,-3.1199791431427,-7.693472385406494,-5.937065601348877,-6.2938103675842285
7,-4.651391506195068,-3.4965415000915527,-5.574911594390869,-8.287493705749512,-3.2079010009765625,-4.083433151245117,-2.354176521301269,-8.486647605895996,-5.722403049468994,-8.310128211975098,-3.9519248008728014,-3.12351655960083,-4.85989236831665,-7.792678356170654,-3.0294394493103027,-3.787152051925659,-0.3800028860569,-6.675002574920654,-3.885420322418213,-7.087787628173828,-3.6673343181610094,-2.663083791732788,-5.123535633087158,-5.69817590713501,-2.786421537399292,-4.889209747314453,-0.4776292741298675,-6.641043663024902,-4.922000885009766,-6.216662406921387,-2.374290227890014,-0.6380183696746826,-4.567337989807129,-5.637713432312012,-4.305706024169922,-8.190776824951172,-1.8612571954727173,-5.28808069229126,-5.024337768554688,-4.862511157989502,-3.010223388671875,-0.2707749307155609,-5.220066070556641,-6.858157157897949,-5.444394111633301,-9.077773094177246,-2.83563232421875,-6.074863910675049,-6.18971061706543,-5.5554375648498535,-3.026840209960937,-0.4797238707542419,-4.864450454711914,-6.28279972076416,-4.635231971740723,-7.686389446258545,-2.2232253551483154,-6.0889506340026855,-5.179145336151123,-4.750802040100098
12,-2.9815380573272705,-3.293496370315552,-6.997788429260254,-6.722664833068848,-3.7931067943573,-3.702713251113892,-2.49109411239624,-7.831299781799316,-5.307902812957764,-8.917139053344727,-2.4395008087158203,-2.4097204208374023,-5.60858154296875,-7.256753921508789,-4.5138092041015625,-4.414358139038086,-1.4877699613571167,-6.882530689239502,-4.61550235748291,-7.809120178222656,-1.862662553787232,-0.8523514866828918,-4.487555980682373,-7.007630825042725,-3.8727524280548096,-4.492232799530029,-1.640483260154724,-5.783970355987549,-4.09853982925415,-6.400181293487549,-2.254693984985352,-1.980546951293945,-4.618344306945801,-7.29145622253418,-3.678818702697754,-3.3771564960479736,-1.5145466327667236,-5.966407775878906,-3.902420997619629,-6.800943851470947,-2.3048040866851807,-1.6397984027862549,-5.138491630554199,-7.779568672180176,-4.025661468505859,-4.078161716461182,-1.2181499004364014,-6.236918449401856,-4.027886867523193,-7.024064064025879,-2.0382933616638184,-0.6728777885437012,-5.379227161407471,-7.4017014503479,-5.3113532066345215,-7.174504280090332,-2.405200719833374,-5.54594612121582,-4.839653015136719,-5.409987449645996
6,-2.754812240600586,-2.632168769836426,-4.000123977661133,-6.173124313354492,-3.69979739189148,-4.000698089599609,-2.158831834793091,-8.069839477539062,-6.324706077575684,-8.426265716552734,-1.264943242073059,-0.7493506669998169,-4.685066223144531,-6.546424865722656,-5.06831169128418,-6.706759452819824,-1.9872779846191408,-6.011662483215332,-5.180568218231201,-7.442074775695801,-1.3495756387710571,-1.7512556314468384,-5.022805690765381,-6.352698802947998,-5.457942962646484,-5.808370113372803,-0.7995650768280029,-6.38583517074585,-5.862052440643311,-6.890951156616211,-1.450082302093506,-1.5483813285827637,-5.7775492668151855,-6.027871608734131,-5.7925639152526855,-7.75176191329956,-0.9007506370544434,-5.906924724578857,-6.449093818664551,-5.632390975952148,-1.7522304058074951,-0.3086879849433899,-6.43763542175293,-6.343422889709473,-8.389697074890137,-10.596392631530762,-4.036581516265869,-6.324112892150879,-8.484013557434082,-6.906072616577148,-2.0523693561553955,-0.2564995884895324,-5.35127592086792,-7.434156894683838,-7.913951873779297,-10.037079811096191,-4.239830017089844,-6.6120123863220215,-8.010144233703613,-6.734982013702393
8,-1.6441675424575806,-1.423298478126526,-6.747593402862549,-6.236351490020752,-3.350572347640991,-3.1999998092651367,-1.3124918937683103,-7.093523979187012,-6.126539707183838,-8.702621459960938,-0.8126692771911621,-2.099072933197021,-6.628987789154053,-6.966810703277588,-5.226436138153076,-5.524971008300781,-0.944034993648529,-6.9992852210998535,-6.745221138000488,-8.183408737182617,-0.9461601376533508,-0.8489177823066711,-5.97691822052002,-6.870181083679199,-6.841301918029785,-7.26390266418457,-2.21590542793274,-5.53521728515625,-7.422799110412598,-6.789036750793457,-1.946754813194275,-0.2906707227230072,-6.584007740020752,-7.1785101890563965,-6.687589168548584,-9.879660606384276,-4.0198845863342285,-6.323223114013672,-7.744786262512207,-7.534454822540283,-2.2490949630737305,-0.3040075004100799,-6.893842697143555,-7.711834907531738,-7.31069278717041,-9.82028579711914,-4.303027629852295,-6.708048343658447,-7.189846992492676,-6.8742451667785645,-1.8855482339859009,-0.3512502908706665,-6.04860258102417,-6.9444756507873535,-6.573624134063721,-7.895125865936279,-4.024590969085693,-6.745760917663574,-6.5589776039123535,-7.309000492095947
9,-2.2869582176208496,-2.999350070953369,-4.324001789093018,-5.773778438568115,-5.8173604011535645,-5.406193256378174,-1.9717401266098025,-8.497276306152344,-7.6122589111328125,-9.458568572998049,-1.3145020008087158,-0.9985821843147278,-4.510127544403076,-7.0764241218566895,-5.060231685638428,-5.461490154266357,-1.5650712251663208,-6.255258560180664,-4.798680782318115,-7.269018650054932,-1.8478662967681885,-0.3862802982330322,-5.982935905456543,-6.511696815490723,-6.631275177001953,-8.448639869689941,-3.0627377033233643,-5.94115161895752,-6.855958461761475,-6.681555271148682,-1.9422526359558103,-0.5787462592124939,-2.510035991668701,-5.688858509063721,-6.850903034210205,-9.782110214233398,-2.2135672569274902,-6.848526477813721,-7.81273889541626,-7.371030807495117,-2.284528970718384,-0.2191317081451416,-4.561602592468262,-6.530137062072754,-7.764812469482422,-10.135625839233398,-3.636898994445801,-6.795549392700195,-8.255842208862305,-7.174123764038086,-2.2798750400543213,-0.3008387684822082,-5.14213228225708,-6.556654453277588,-7.526665210723877,-8.909399032592773,-3.664762735366821,-6.384868144989014,-7.537623405456543,-6.3529863357543945
